,content
0,akhil
1,Tgey will double bill weekly for a monthly subscription and cant seem to get real help .when all they have to do is look at my account
2,"The subscription price so expensive and only for 1 number? Seriously? I've purchased it before but it's not like this before. And I don't have a WhatsApp web, so how should I link it? You already took my money though. Please refund me."
3,So nice Meta pushes things to make spying on others more convenient. You know what I'm doing? None of your Goddamn business!
4,Worst. Doesn't show last seen.
5,Useless froud
6,Please how to unsubscrib?
7,False information was told it would install remotely. As getting access to phone was impossible. But once I installed it. It. Required the phone that I was tracking. And also would not scan barcode keeps saying try later.
8,Poor
9,I am not able to show online if you want to buy then reduce the price a bit plz
10,Stop chopping money from my visa idont use Ur services anymore this must be the first and the last warning to you isee some trasanction made on my account on 7th of this month.
11,ok
12,samne wale data off hai single tick hi dikha rha aur ye app online dikha rha 😂
13,nice
14,Trail period was working well. Now when I paid team is saying payment not received..neither Google play cares about it..Team says solve issue with Google play.. money wasted..very disappointed.. Hi suddenly the app has stopped working..wat went wrong...no answer from the team...atleast revert back wat is the issue..I had paid for it...plz revert back..Y has it stopped working Thanks team for ur support..problem was resolved within 24 hrs 👍 Good
15,👎🏼👎🏼👎🏼👎🏼
16,Does not work. Been monitoring for 2 days and contact last seen time hasn't changed when I know for a fact they have used the app multiple times.
17,The only way to not be tracked = block them!
18,Did not produce correct results.
19,all
20,The app isn't free!! Please make it free for us!!
21,Doesn't show chats while is expensive. To be honest I wasn't expecting what have seen.
22,Very Very bad
23,Bad app
24,SCAM I want my moneyyyyy!!!!!!
25,3rd day and App is not working. Are there any tech issues? Please get back to me 30/05/23 App hasn't worked since last reporting here. The person is online yet the app cannot pick this up. I reinstalled and installed again but issue still persists
26,doesn't work. doesnt track. looks like another scam app. dont waste money here
27,Expensive
28,super
29,Rubbish appo. Doesn't open any page
30,Selecting the rang like yesterday i subscribe when the date change it does not track on oanother date now what i can do
31,Just three days with expensive proce after 😡
32,this is not working nothing is showing for today
33,Worst application
34,تطبيق زفت زفت قرف لا انصح بتنزيل ذلك التطبيق
35,I can’t cause I was hacked this is due to a hacker with no help from you
36,U want money for free trial seriously hehe uninstall
37,Delete
38,"This app is horrible, a complete lie Gives fake last seens, and you have to pay for every single contact"
39,"Absolute shite, don't waste ur time. Qr code doesn't work. Keeps saying try again later."
40,Rrr
41,i am unable to login
42,always online notificaciones bad
43,Stupid app
44,good
45,💗
46,Two words Absolute - Trash
47,It's not free bruh😐
48,kinza 👑👑👑👑👑🌍🌍🌍
49,Bad account
50,Bad need paid to test
