,content
0,"I putt all my money as per Tejimandi advice and was glad on my decision. But today I am confused with the performance of their suggested stocks. Market is at all time high and Al indexes are at peak but most of the stocks in both category, either flagship or multiplier, are in selling mode. It indicates some game behind the curtains."
1,App open nhi ho raha hai
2,Good
3,I have just started till now the app is very smooth going about the returns I can't comment just started
4,it very nice
5,thanks to tejimandi and i wish my capital growth continuessly
6,No entry point to enter stock or link to chat
7,👍👍👍👍👍
8,good app
9,Horrible customer support. Discount coupon not working. KYC is mandatory(???) and not easy to verify. Don't subscribe.
10,99 ka neahi hai ye
11,I am surprised to see that for doing subscriptions via net banking I dont see HDFC and SBI to select. These are 2 largest banks. How to pay as I am NRI amd dont use UPI.
12,good
13,This is scam. We want to check my portfolio is correct or not but no any options available in this app. Return back our money.
14,hi sir
15,Scam I'm not able to check my portfolio
16,Zero rating for UI and waste of time if you install this app.
17,Not Good
18,"Good going so far, I wanted to evaluate for sometime before sharing my experience, their portfolio has fetched 20% in about 6 months so far, well market has also moved positively too. Pros: Documented rationale behind each script selection. Ease of app interface, except some glitches. Cons: Subscription price difference between flagship and multiplier is not proportionate considering the ROI difference between them. need to see how their picks perform in the coming days as market is at peak"
19,target prise not provide
20,Rubbish
21,"It's a waste app Don't download this ,if you download this don't get any plan It's a scam no support no advice"
22,99 rs. dokha kar direct 1100 rs. kaatne pe aa gaye
23,ok
24,not giving option to customer.... it's vvvv problematic
25,ok
26,very poor. after subscribe kyc form after fill correct pan and dob shows kyc not verified
27,Worse app
28,बकवास लूटने की फिराक में रहते हैं कोई भी इनके चक्कर में ना पड़े पहले कम से कम पहले 2 ट्रेड ट्रायल देके बताए
29,Good
30,Best small case for beginner investors
31,I have expected some thing better from Motilal Oswal but very disappointed. Feeling like throwing my 1188 rupees in dustbin. Will never advise anybody to subscribe to it. I request Moti Oswal to not fool people and protect their image among investing community. And refund my money.
32,This app is not working.... wastage of money.
33,good app for investment
34,Using for 3 months. As of now I strongly recommend to all. Long term let's see
35,Good
36,Please do something app dose not work when update app don't work app I do 10 to 12 time unstall app and after reinstall app work soo please fixed it🙏🙏🙏🙏
37,at early stage good
38,Good app for part time traders
39,Hindi socha bole
40,kyc nhi ho rhi sabhi detail thik dal rha hu fir bhi aur koi bhi contact nhi hua mujhse
41,very bad don't be activated any service and subscription
42,i dont see any stock recommendations. when to buy and wjen to sell
43,Scam
44,loot mcha rkhi h .1500rs
45,"I don't have time for this app, time vest"
46,worst app it only needs ur money no help at any point of application access and i dont undeterred why there is an otp function in accesing the risk profile what is the logic or sense or they had taken the money now there is no use of customer
47,Wonderful and appears to be quite reliable due to professional approach and proper analysis by team
48,Excellent
49,Orders Window should be redirected to broker account not to smallcase.
50,best of app
51,Fraud Servies.
52,not kyc updating... whilthan money have been deducted firstly... if taxi mandi are not verifying my pan and dob .. than plz refund my money ..
53,Great experience.
54,Worst app ...post subscription....no one is picking up any call .. getting repair order after trying 15 times.... Please do not subscribe I have invested 3.5 k
55,Good service
56,Good
57,it is so easy
58,Very bad app Very bad app no customer spot
59,Excellent
60,These MFS will call you day and night . Do not install the app ever. Don't register ur number
61,best
62,"सबसे ज्यादा बकवास एप्प है, विज्ञापन के बहकावे में न आवे 📢📢📢, सारा दिमाग विज्ञापन में लगा दिया अंदर कुछ भी नही है, सिक्योरिटी के साथ भी खिलवाड़ है, गलत नीति है , कुल मिलाकर ठग है।"
63,"I can pick better stocks than they do with so called research,they are just earning money from us,dDO NOT take subscription"
64,"Misleading app, Don't subscribe at any cost !!! For just making money, the developer doesn't tell about its actual work. Its useless n worthless."
65,Nice platform
66,"Bekar app hai, Coustomer support bhi nahi ek bar aapne subscription Lia uske baad koi nahi puchega aapko. Mere sath bhi yahi hua hai. After subscription koi bhi aapko guide nahi karega. One star ke lia bhi app nahi hai."
67,Don't download app this app is not working very bad experience they don't guide to buy or sell stock plzzz don't download app is not useful Please download univest app this app is super for investment in stock with targets
68,Useless app please don't subscribe
69,It's scam .They do not provide EKYC and do it with DiGilocker where it's clearly mentioned that teji mandi can acces data and documents from DiGilocker.it's as as you are opening bank account or dmat account.i reached to teji mandi they even don't allow refund.all kyc asked after payment.
70,Great job
71,thx
72,it's good platform.
73,good portfolio advice from teji mandi
74,"Download kar ke 5 min hua hi tha,teji mandi wale phon karne lage,, kya dhanda hai, user interface ko samjne ka moka bhi nahi de rahi company.. Fhatak se paisa vasulne ke liye phon. Kya bat hai... 😞😞😞😞😞"
75,Ok
76,paise lekar koi response nahi
77,Excellent service
78,ok i m new
79,Very Bad experience. don't waste money subscribe this app. There is no smooth refund policy also after subscribe. Just make fool to public by using motilal oswal brand name. Very sad
80,Worst app dont pay it will tell you nifty 50 stock names and charge 3600 rupees for it worst product ever in financial space
81,not Good not availability of help
82,"Not getting OTP tried morethan 100 times for both mobile I'm not getting any single OTP, your app is a big and i have unlimited recharge pack on my both mobile numbers but never getting OTP other apps are giving proper OTP SMS but your app doesntot giving at all it's make harrase and may be it's fake app"
83,Worst app no basic help from Tejimandi Useless waste of money
84,Every time I have to reinstall it when I want to open it
85,Not able to subscribe. The nsdl page in the app is not having keyboard to type aadhar number for otp generation. Poorly developed app
86,good
87,It's a very bad application.after subscription I am unable to open the application.very bad experience.they are just looting your money and your personal details.
88,Worst app
89,Great app for investors
90,ok
91,Zero star dena chahta hu par option nehi hai...two words don't purchase
92,Worst app I have opened account on 21 may 23 and paid subscription for one year your app is not completing my kyc forcing me to complete kyc with digilocker why i go with digilocker
93,I think it didn't check the portfolio that already exists...
94,Worst app and wastage of money. First take money and then after no help
95,KYC getting failed Is it because today is Saturday and market is closed Dmat account is in my wife's name. Pls advise how to proceed for KYC
96,Mstock by mirae is not supported on your platform. Please do some thing
97,Good suppot from teji mandi. I have used it since one year
98,thank you
99,still good
100,Worst
101,Worst exprience no one help dont use this app
102,"It's a scam, they do not allow Ekyc , and force to verify via digilocker where they would access all your documents, no help and support from there end , do not install the app"
103,Good Service
104,The only issu is it doesn't show day's P&L Developers should look into this
105,I'm not able to login my account . Why am I not receiving any login OTP ????
106,No any Customer Call helpline service is available and its Whatsapp chat help also non supportable. Even App is not opening from last two three days. Dont know how to reach them to resolve my quaries.....
107,App is not working properly. Kal se to khul hi nhi rha hai. Kaha hai expert log ? Aise app bnate hai ki maintenance nhi kr pate.
108,excellent
109,monthly basis par charge kariye not 6 month or yearly monthly 99 ka shi rahega subscriber bhi bahut badega
110,App not working please remove bug as soon as possible
111,godd
112,"Application is not working, not opening"
113,"Facing some app issue , app is not getting loaded and not able to operate or view anything from app. As far as portfolio performance is concerned i am very much satisfied with their stock recommendation"
114,"Update: frequently app is not working, not able to login."
115,Customer care support is very poor Avoid to buy subscription Once you buy subscription they will not to pick your phone 🤳 and not responded
116,App is not working from last 2 days. Customer care number always busy. Disappointed.
117,App is not launching. Otherwise rest of the services are great
118,Stuck on the screen after entering the otp.
119,App is Not Working
120,Bahut hi ghatiya app hai.. Rebalance kabhi bhi nahi hota... Har time error aata hai... Support bhi faltu hai.... Aur ab ye motilal oswal ke investor app me bhi nahi dikhata... Motilal oswal bahut hi ghatiya app hai.. Annual maintenance charges to ye every month le leta hai... Overall worst experience... Mai isko 1 bhi rating nahi dena chahta but sabse kam wahi de sakte hai
121,Ni customer care number to call Sorry to inform no call has been received till date
122,good
123,Don't waste your money Worst app
124,good
125,It is one of the worst app. There is no help. It is wastage of money and time. They just take money and show you portfolio of 15-16 stocks. They just give name. They never tell you entry price of target. They even don't provide contact details or link to leave a message. Please never follow this.
126,Expected return of investment I am getting. I have invested in both flagship portfolio and multiplier portfolio one time and till now in profit
127,"जैसे ही आप पेमेंट करेंगे उसके बाद कोई भी हेल्प नहीं मिलेगी,ये कंपनी बड़े बड़े सपने दिखती है और आपको टीवी पर आई न्यूज में से या इधर उधर से कुछ भी लिखेगे, आपको कोई हेल्प नहीं मिलेगी।"
128,"Whorst app . No support,no customer service, and rebalance issue"
129,Customer service is a total flop. If you write a mail you get the reply problem is solved. If you give referral code it says failed to apply. Who is the authority to whom it should be addressed.
130,भाषा बदलने वाला में चेंज ही नहीं होता है
131,good
132,The application has so many fake AI written 5 start reviews. It's so noticeable 😂 i would upload photos i would have gotten the option. The developer clearly buys reviews
133,"Updated rating based on response. Please read review before responding. //// Just unable to get in touch with customer care. No phone number to reach, no response / acknowledgement on whatsapp. Tool should give me option to customize my orders for quantities."
134,"Login with otp everytime is irritating. Give options of password, mpin, otp to customers."
135,One of the worst experience i ever had was opening account in this mosl .Never ever try this app /account.They never helped nor they guided . Calls provided were extremely bad. They even dont know where market is heading .My opinion is they misguide only and loot retailers money always. Just beware and stay safe .
136,bahut hi gatiya app hai
137,Bakvas app
138,Absolutely no gain from this app. They just mention which stocks are good to invest. Even u can google and everyone knows those stocks. Once subscription started u will get call from call center but use. Today is my second day after subscription my personal advisor avoiding my calls.
139,Just started today
140,worthless app
141,Avg user interface. Pl give option of login with ID & Password like all other apps. Your app only has one option i.e. OTP. Give all options to user like password or mpin or OTP. It will be helpful.
142,Customer care not interested to guide
143,good analysis
144,This app is run by motilaloswal and they are biggest cheaters never invest in motilaloswal they only make money by their 3 times hidden charges there research is useless and advisors are fool they need only their brokage and never bother for your loss no one will attend your problem after you subscribe there charges are 3 time higher then any other brokers
145,kuchh samajh me nahi aa raha hai
146,good
147,Nice details information.
148,Guru Malhotra thank you so much dear friends please 🙏🥺❤️🤙🫵🤳❤️
