,content
0,"Zero stars. Somehow, they have made it WORSE. Absolutely a joke. Whenever it's bought up with the team, you're told they are ""developing"" the Android app. They have been doing this for two years so far. Trying to help staff and work outside of my business while on maternity leave is impossible. Will be looking into other software apps during my time off."
1,Absolutely 0 support for the android app. Is literally a link to their website. Useless and painful to use
2,Great app
3,Very please with the services
4,Doesn't work for smasung phone. Disappointing. They should've told me this before I paid for the membership.
5,Timely has charged me twice without a full refund for the first month. I requested for my account to be deleted and a debit just came out today which is beyond fustrating. You're better off with square appointments that actually loads.
6,App automatically directs you to the website so this app is literally pointless if you use a private browser. If you don't have data or wifi it is unusable to see any bookings.
7,"Does not support Android - completely broken app after recent major update. Multiple back-end issues. Devs going down the ""it's not a bug, it's a feature"" route. Very expensive, use another service!!"
8,"Shocking on Android, always freezes"
9,Annoying it keeps asking me to review
10,"Super buggy. Jobs dont update unless i completely refresh the app. If i open a job on the schedule, close it and attempt to reopen the job i need to also refresh the app in order to view the job. On top of that theres a 20%-30% chance the app just crashes attempting to open it. All of my colleagues who use android have this problem. This needs an update to be more android user friendly"
11,Freezes and crashes on Android 13 just like the desktop version of the website. Only happens on chromium based browsers and this webview based app.
12,Android app is less useful than an old potato.
13,"Keeps crashing on android phone after 3-4 seconds. Unusable at the moment. When I want to rebook clients using my phone, it's embarrassing, as they are waiting so long for me even to get on the app. Please can the developers sort this very quickly. Thank you."
14,Just terrible. It's a Web version. Never experienced such a poorly built app from a paid sevice.
15,"Awful after update! Used to work perfectly on Android but since update crashes every time app is open. Multiple attempts until it finally loads then doesn't scroll. Timely team, sort this out please."
16,"Difficult time management. For instance, I can't make appointments specific to a certain amount of hours needed. Microblading 3 hours, I have to put a 30 minute time slot followed by blocking 2.5 hours so it works. Please fix"
17,Full
18,Good
19,Android app does not work. Appointments don't show. Unable to edit appointment information. Lots of issues.
20,This app keeps timing out. Very frustrating.
21,Terrible on android. Way better on ios
22,"Slow, defective, useless! Crashes all the time and feels unfinished. It's a shame."
