,content
0,Trash pls pls delete this trash app full of bots and its a rip off
1,"I like it much more than I thought I would. I was surprised how quickly I met someone who clicked. I was the one initially asking to meet, and after 2 meetings, I found someone .. and I think she likes me! The only thing I would suggest is to fill out the profile and be honest and provide photos."
2,Do not use.
3,I signed up for it and got zero response from anyone. I canceled my subscription with a zero balance. A few months later I got a bill from a debt collector saying I owe over $530.00. I have read this happening to other people as well. Even after canceling your subscription and profile eharmony will continue to charge you. Subscribers beware.
4,Too much money for very little results or options. Lots of profiles with missing pictures.
5,"Nothing happens overnight. Things take time, and you need to have the patience to find the right one."
6,"Hi Guys its an absolute scam and money rippers. Pls think 10,000 times b4 u guys join this."
7,All you will find is debt collects emails for payments.
8,Idk how apps like this aren't illegal. The app is a scam. It looks like messages aren't actually being sent to people. From what I can tell the majority of the people I send messages to aren't active accounts so they couldn't respond. Huge waste of money. The people working for eharmony should be embarrassed that they're helping go along with this scam.
9,Poor
10,This app is a scam! DO NOT sign up if you don't want to be locked in a 12-month contract!
11,"Gotta be rich to be a premium member. Any plan, expect to blow $400 minimum after taxes and fees. Ridiculously annoying to cancel a basic account. Thought there was a law recenty where we're supposed to be able to cancel an app as easily as we signed up. No explenation on premium benefits if a non premium person can communicate with you. No way of knowing if someone has a paid membership. This site sucked about 20 years ago when I beta tested it and it still sucks."
12,"Minimum 6 month subscription because 'we don't want to rush you'. Without this you can't send messages or see photos. This company is first and foremost a money making scheme, premised on exploiting peoples desire to meet a partner. Cynical. To be avoided."
13,"It's a lot of personal stuff that, if your servers were to be breached, could risk the ruin of an entire family"
14,"I am going to filing a class action lawsuit against eharmony. If anyone else has been falsely charged, repeatedly asked to cancel your account and still be charged or charged after cancelation please contact me! We will get your money back!"
15,Extremely fraud platform. Totally not good to use. Not free. It's a business. Not proper for us.
16,Absolutely a waste a money. Not very many people. Forced to subscribe for 6 months if you want to chat with people or see any pictures. Not worth it
17,"Useless in today where most matches are either not using a profile picture and if they do no one responds. Take that on top of the huge price? Welcome to hell boys. And yes, this takes into consideration tinder and other apps. They seem to all be pointless. Unless all your looking for is a piece of meat or human trash..."
18,"Does what it should for the most part, but like buttons are sometimes too prominent - occasionally I accidentally ""like"" someone or something.."
19,"I love it. I may not have had any hits at first, but that tells me that there are no scammers on here. none that I have found."
20,"6, 12, and 24 month contracts for a dating service?!?!?! Seems like Eharmony is out of touch with how dating actually works. What if somebody finds love the first week or month? You have to keep paying for a dating site you'll never use again? How stupid is that? Out of touch is the best way I could describe. I and MANY OTHERS will not be subscribing because they are obviously scamming people by forcing them into long contracts for a DATING SERVICE lol!"
21,I disliked the entire app as it was not user friendly and just had a bad feel to it. I then deleted my subscription and got a confirmation that my account was deleted and everything was done. Months go by and I get a letter from a debt collection agency about not paying my eharmony bill. They had been trying to charge me for a subscription that was deleted and I ended up having to pay again for an account that I used for less than a week. This entire company is horrible and a waste of time.
22,"Can't even contact someone via app, click on help and options and nothing. Cheap. Very few people to match with and often not even close to preferences. Biggest peeve is no photos! No verification process. You should make it mandatory to include a photo and verify it. I have dozens of matches of 'quotes' but I'm not looking to date a quote! I want to see verified visual as physical appearance is important (not Hollywood model but takes care of themselves, and a real person vs scam). Bad app"
23,"App is expensive, has very limited pool of people in my area and it terrible at pushing out notifications for nessaging. It doesnt update imidiatelly. Yes, Ive checked the settings they are on. FyI tons of profiles with no pics."
24,Chat feature is too restrictive. Was naming cities & it wouldn't let me send. Huge amounts of fake profiles with so many that only have 1 phony picture & poor grammar. No daily matches unless you ask customer service. Limited number of searchable matches per day before they start repeating & only show a few new ones the next day. Live near a major city & 80% of matches are on opposite coast. 6 month minimum subscription & too expensive to be so mediocre. Four months in & it's been trash. DNR!
25,Impossible to cancel payment.
26,"One of the worst dating app , without subscription the app is useless."
27,"I'm fine with everything else but not being able to read messages without paying an absurd amount of money? Then it's just a scam because the ""people"" you match with turn out to be bots."
28,"This app is a joke!!!! DONT USE IT!!!!!! No matter what your ripped into a 6 month commitment, that they won't let you out of even if you've met someone. Customer service sucks!!! The whole thing is a joke!!!!!! It doesn't even deserve one star!!!! Use Zoosk instead!!!!!"
29,great app
30,Terrible. Do not waste your time. They claimed I never canceled my membership and thus charged me for it. Worst dating app to pay for. You do not get anything better for paying. You are better off on any other dating app. If I could give it 0 stars I would.
31,Can't do anything unless you pay the extortionate premium membership fee not worth the download
32,"There needs to be more done to motivate users to have profile pictures. This app is way too expensive to have such poor user representation. I know all users have free will, but it's so frustrating to not see who you're addressing. Nobody is attractive in their profile notes alone."
33,DO NOT GET. They will charge you after you unsubscribe and have an auto pay feature that will still charge you without a heads up that it will be doing so. Then tell you they don't do refunds even tho you haven't been active for more than 6 months. The only way to contact I have found is by email...
34,So much irritating while creating profile. Sucks. Uninstalled
35,Very expensive service and half of my matches are profiles are without pictures. In three months I have literally chatted with one person I find attractive. I do not recommend this service.
36,"GIGANTIC WASTE OF MONEY. They clearly know they have an inferior product, because they lock you into a 6 month contract to be able to function at all in the app. Don't bother, learn from my mistakes. The filters are garbage, there are no worthwhile functions the free apps don't have, and the ""personality quiz"" is a farce. If I could delete the app without losing more money, I absolutely would."
37,"Terrible. The matches were horrific(like cartoon villain bad), many with no photos, many without subscription, so they couldn't chat even if I wanted to, many that hadn't been online for weeks. I asked for a refund in less than 24 hours of subscription, and they gave me the song and dance about the £65 personalized report; which was the multiple choice questionnaire that everyone fills out and it generates an algorithm. And it matched me with Humpty Dumpty. Not worth £65. That's for sure."
