,content
0,So amazing
1,Excellent
2,I like this app like no other because It really make me happy
3,Good app
4,😇😇
5,It works first then other apps. My all files open it smoothly and quickly.I love it much.
6,Good experience
7,Adds keeps coming Yrr this is worst
8,Make life easy
9,Excellent
10,Easy to use
11,So far good five stars thank you : - )
12,Best documents reader
13,Good
14,Good
15,Easy to use
16,Like it
17,Very good
18,Very useful app.I can recommend you this app
19,Good app sir
20,"Brilliant app, I wish I knew it long ago! So easy to use and works so smooth and fast. Highly recommended!"
21,Finest app
22,Good
23,Best🥂
24,Very snappy to open
25,Jgg
26,Excellent
27,A very good app.. Thank you
28,Very nice app i just love it❤️
29,Awesome for keeping crochet patterns
30,Really love the app guys. Great worknon the awesome user friendly features. Superb💥💥💥💥💥👍👍👍
31,Very lovely app 5 Stars for me 💯
32,Best document reading app I've seen in years. It's very simple to navigate and it runs smoothly. Downloaded it for my mom because she was having trouble with others... Had to get it for myself! Great work!
33,Excellent
34,Very very very good
35,Good app
36,Very good
37,Pls help me send the pdf to my android
38,Good
39,Good app
40,Why not work exle worksheet program
41,👍
42,Good app thus far
43,Good
44,Great app very easy to read any documents and am very happy to have and meet this app God bless 🙏 the app provider 🏆🏆🏆
45,Interesting app
46,"Wow ,this is the app i have been looking for.Great app . It's quick and reliable.Easy to use"
47,Nice App Hare krsna
48,Very useful app for me
49,This app is vary good
50,V good
51,Good
52,Good
53,𝗚𝗼𝗼𝗱
54,Thus far so good. App doing what it's suppose to do.
55,Cool
56,Great
57,Nice app
58,I love this app 😍 it works very quickly than others.
59,Very excellent
60,Awesome
61,"Very comfortable, fast and easy to use 👌"
62,Nice app to read all kind of documents in this app
63,👍👍👍
64,Does this app contain ads that negatively impact my exprience
65,V good
66,Good go
67,Best best'
68,Good
69,Good
70,Very useful
71,"It's okay with me hopefully, others will like it also."
72,203 zone 18
73,Very good app 👌🏻
74,Easy to use
75,"Really good app, it's easy to use and I like the dark mode"
76,Good
77,Great app🙌
78,Good
79,Great
80,Useful
81,Excellent
82,😁
83,Fantastic
84,Excellent app easy to read indeed it is called all documents
85,Nice app
86,Good
87,Descent and useful
88,Very good
89,Good and best
90,Very good app. After installation no other apps are required for read any type of the document
91,Ok
92,Huii
93,Nice app
94,Just amazing!!
95,Good
96,"So far so good,I like it."
97,Good
98,Excellence zabardast
99,Pretty basic - if that's what you're looking for great! Reply: okay! 👍🏼
100,Good
101,Excellent
102,good
103,Its okay
104,Good
105,👍
106,Good
107,Seems to be good
108,Easy to navigate and everything is well organised
109,Good experience
110,It the best cuz it have no ads
111,It's a good app
112,"It works as I need, thanks developers."
113,Great
114,App working fine.👍
115,Easy to use
116,Very nice app 👍
117,So far so good
118,Good
119,Good
120,Very good.
121,Nice
122,This app is really easy to use and user friendly. Absolutely worth giving it a try. So far no problems enjoying using it as I work alot online and it makes my work flow so much easier.
123,Does what is says.
124,Amazingly accurate
125,Good experience
126,Good
127,I love it ... It is quite understandable.....
128,Very good app which I have ever used in life for opening my documents am giving you all 🌟
129,Good
130,Nice app
131,Interested
132,Excellent 👌
133,It's good
134,Really awesome app I love it so my rating is 5/5. Download this future really help full...!!
135,It is great
136,good
137,Very nice
138,Good 👍
139,Good
140,Good and fast documents oppenner
141,Gud
142,😍
143,Good
144,Opens fast the files!
145,This app is best because it not contain any types of ads
146,Good app kudos to the developers
147,I like how to is has all the features needed and yet is not a burden on the device's storage. Well done...Keep is up!
148,Great app. Loads fast
149,Nice
150,Great app of all you will ever find on Google
151,Excellent 👍
152,Good
153,Good
154,Good start. Great app. Used it before.
155,App to many good or expirians also good 1 app me sab kich hai 🤗🤗♥️♥️♥️100 /100
156,Quick and easy to get in touch thanks
157,Easy and right at first try.
158,I really like it
159,good
160,I like it a lot! Hope it'll last this way )))
161,Useful
162,Weldone
163,This is tooo nice 🙂☺️🙂
164,"It's easy to use, clear, simple and has many documents option"
165,Extremely useful
166,Good
167,"This is the second time using the app, so far so good. Seems like with all the options available it really is all in one"
168,Thanks... It was a good application
169,Great 👌
170,Best app 👌
171,Exellent
172,Good app
173,Excellent
174,Perfect work
175,Wonderful
176,Best of all
177,Very good
178,Excellent app
179,Very well
180,"This is the first time I've ever had a good experience with this type of app. So easy to use and understand 😄. I highly recommend that you try this app, I think you will be happy about using it."
181,Good
182,Very good easy to read
183,Kind of okay
184,It's. A good application I have ever used
185,Good
186,Everything looks good can read docs going back years
187,Good
188,Good
189,Good
190,Very nice 🙂
191,Fantastic
192,Trustworthy application
193,Very good
194,The best app
195,"Light, efficient, and no annoying adds."
196,Brilliant
197,V.good
198,One app to read all types of documents Thanks to the developer Excellent performance
199,Good to use
200,Dependable
201,"Just downloaded it a few days ago, so far so good, it works fine."
202,It's a good app's to use...
203,Very good 👍 app
204,Good for nepal thank you
205,Nice 🙂👍
206,Ok
207,Good
208,Work made easy ❤️❤️
209,"This app is very wonderful, I love it"
210,A very welcome apps A
211,Fantastic
212,Nice
213,Good
214,👍
215,Nice apps
216,This is an easy to use App and open all Documents with ease. I love it works for me
217,Good stuff
218,EXCELLENT 👌
219,It's a multi purpose tool which uses almost no space at all
220,Nice app
221,Good
222,Great
223,Competent
224,"Good, less ads"
225,Love this application works for everything
226,Awesome
227,NGL... I'm soo satisfied with this app and it's definitely the best.
228,It's really helped
229,Very good app
230,This is a good app but where is search option in pdf . I can not find a name in big list until totally read ।
231,Good
232,Very easy to use. Open all kinds of files
233,Good
234,"Word, pdf, excel, ppt, txt all in one appa... Superb..."
235,"Fantastic, no complecations and it has access to whatever document you want to open."
236,It's an amazing app
237,خیلی خوب
238,Good
239,Excellent
240,The best pdf reader able to read all pdf and very fast
241,Very good app
242,Good
243,I enjoy using the app
244,Good
245,Nice pic
246,Like it
247,"This is a must have app on your phone,works perfect!"
248,Good
249,"Basic and some advanced features, it gets the job done on the fly"
250,Best*
251,Good
252,It s good
253,I like.good for my work at office
254,Good
255,Exactly what I needed
256,Good
257,Very good reading experience.
258,Good
259,Easy to used
260,Very nice app and easy to use.
261,Good
262,Happy cause I have been helped fast to get claim form
263,Perfect one in all i used
264,Absolute the best
265,Satisfied
266,"This literally satisfied my everything 100% convinient,"
267,"It is one of the best apps I have ever used ,it is very fast and easy to use 🙏🙏🤗🤗"
268,This app was the one I was looking for! Unlike other apps...it does not show any ad before opening the document. My experience with this app was great!
269,Great
270,Godddddddd
271,Khalifa
272,Wonderfully helping
273,Good app
274,Amazing app...its very easy to open different types of file.
275,Good app
276,All reader is the best❤️🙏
277,Good
278,"I love it, it's fast and reliable."
279,So easy and safe
280,Good
281,good
282,Good
283,Best app
284,This is good a app
285,"The personalization like drive pdf viewer (searching button,copy,search in web, translate) should be added also dark theme for the app should be added the app is definitely helpful 👹"
286,Nice
287,Hello please chat with me
288,Very good
289,Great app with excellent features
290,Good 👍
291,Very Very Very good 👍
292,Fairly good
293,Excellent work...
294,Taking time to 0pen but results are worth it
295,Extent
296,Best application
297,Ver good
298,Perfect
299,Awesome
300,Works well every time
301,Very nice application
302,"Simply put it's one of the best, fastest & easiest apps in the Google Play store to use. It works very efficiently, opens all types of files & documents with no fuss. Can be used offline & probably the best feature is that there are no ads at all. This is an excellent app to add your device & I would highly recommend it to anyone who is needing an app like this one. Forget the rest, get the best!"
303,All in one best reader app used ever.
304,Good
305,Superb app for all pdf
306,Excellent app
307,Nice App
308,nice app but ms word is not working
309,Nice
310,Loads faster than other Apps i have used. Good work!
311,It really perfect for me😍 Just like an answered prayer 💯❤️
312,Good
313,So far so good.. But I just started using. I'll post more when I know more
314,Perfect
315,Very Good.
316,Easy to use. Thanks
317,Good
318,Good
319,Very nice... I like that
320,Good
321,Easy
322,Really it's amazing pdf reader i want this type of reader and finally I found it 🤩🤩🤩please don't use add in this app because of add pdf open to much late
323,Perfect app to use for documents!!!
324,Awesome
325,Easy to use.
326,Best
327,This app is really very very fast and opens all files very clearly without any interruption.
328,Very good 👍
329,Search krne ka ek update Dena chahiye . Taki bdi pdf me name ya number se direct wha pahuch ske .
330,The apps is very fast.
331,It is very nice but there is one promblem i faced which is there is no free in google content but still its a nice
332,Good
333,Vvvvvip sp
334,Nice super app
335,Easy to see all documents .
336,Good app
337,فعلا تطبيق ممتاز
338,I'm fully satisfied
339,very..
340,Nice app for pdf reading
341,ကောင်းတဲ့ software တစ်ခုဖြစ်ပါတယ်။
342,Good
343,Beginning to experience
344,This app is uncomparable to the other apps Very easy to use
345,Easy to use...👍
346,"Very good, fast and easy to use"
347,Clear documents
348,Nice easy to use thanks
349,Great
350,Good
351,Good to see.
352,"It's super fast, and it does exactly what it's intended to do. What more can I ask for!?"
353,I like this App
354,ok.
355,Good
356,Good 👍
357,Great
358,Its really good
359,Best app ever
360,TQ and very useful to read
361,"It is quite a very exceptional app to use. It really can open every document, even PC documents. I love it!"
362,Easy to use
363,Good
364,Good
365,It's the best app I have ever use
366,Best document reader I've ever used without doubt
367,Exceptional
368,Good app
369,Very good
370,Good
371,Good app
372,You view any document you get
373,Good
374,Is very good using this app
375,Very good
376,Good.
377,Awesomeness 🤟🏽👍🏽
378,Very good app
379,Best app
380,Very good and wonderful application
381,Good
382,Very good
383,Very good app for me to use easy and fast
384,"Nice app, all files are opened in it"
385,Cool app
386,Good
387,Nice App
388,"Way better than WPS Office, which loads slowly and constantly pokes us to get premium, while this app loads the files super fast!"
389,👌
390,nice App
391,I like it
392,Good and easy to use in fact best so far
393,Nic app
394,"Classic app, I like it 👍👍 I easyly open and store my important work and I get it there"
395,One of the best i have come across. Opened a file i had failed to open in weeks.
396,Just simply amazing
397,Simple & easy
398,Good
399,It's work perfectly
