,content
0,i should have been had one
1,works great
2,"Doesn't work, connected it multiple times and still doesn't acknowledge the link has been made. infuriating"
3,This app doesn't work.
4,"Where do I begin? Ease of use, great synergy between my devices, and multiple Alexa units in my house and other family members' homes. Great customer support! They remain with you until your issue is resolved or provide you with additional options. For me it works. I am constantly finding new ways to get the most out of Alexa app. Amazon does a real good job suggesting ways to enhance your experience based on your daily routines."
5,I love this aap
6,Scope for Interface improvement
7,I wish I can play my resent son added on my play list instead of skipping each son until I reach the new ones.
8,very good
9,she has stopped responding to her
10,bad
11,Perfect 👍
12,exelent
13,kindly update the features. mobile to Alexa connect with aux cable
14,Was a very helpful one thanks.
15,"Can't connect Alexa to wifi or Bluetooth to my PC. Tried many sets of instructions. Cannot find Alexa app for PC. Amazon says to download it, but I can't find it. I think I'll return the Alexa I purchased."
16,slow and not great response or problem solving options
17,bikram
18,"Recently replaced my Google Home with Amazon Ecoh Show but it's disappointing. Very limited options with Alexa, listening is not good, and cannot play from Youtube automatically."
19,good app
20,They need to make this more innovative its like they half assed it when programing. Something that should just work does not.
21,"The app works great for me except one issue I am noticing. Whenever I change the audio settings on my devices, the settings are automatically reset back to zero. Annoying.."
22,useless if there's background noise
23,thank you
24,Doesn't help me at all.
25,too pushy trying to sell they're services
26,App is not user friendly in any way.
27,need to be fixed I cannot do anything with my phone if I'm using Alexa to read a book to me which is really annoying don't like the few updates that has happened so far have to keep the app open in order to keep listening I should be able to use my phone and do other things while the book is being played in the background
28,What's the deal with having to use the app and not the web browser version? I want the browser version back!
29,good and easy
30,xbox gamer here
31,lousy at controlling speakers
32,"Good job removing the energy consumption of smaller devices. Small things do not matter, at least for Amazon. The application is responding slowly, is becomes more and more robust. I don't like it. I am considering changing to other smart home assistant."
33,junk don't buy
34,I'm just tired of this app not understanding any commands.
35,I love my Alexa but the app needs a lot of work. I'd like better organization on my Kindle book list since I like to use my Alexa to have it read to me
36,Update - playing music is horrendous. I have never had such a terrible experience using an app to stream music to my Alexa devices. It freezes and displays wrong song info. It's amazing how many years it has been like this too. SMH. One of the worst designed apps I have ever used. This app is a mess. It's confusing with the worst UX and UI imaginable. Nothing is intuitive and you basically get lost trying to find settings.
37,"AWFUL BUG after last update. Levels keep changing on dot devices which didn't happen before. Keep having to readjust everytime I turn them on now. SAME with all lights and routines. Very frustrating, please fix."
38,Connection and Audible Issues.
39,super
40,nothing works
41,good
42,app not working correctly. weather alert but not listed on the app
43,Poor sound quality
44,it has so many options and information. very confusing for starting few days.
45,Amazing voice
46,Nice
47,Faltu
48,app is not responsive to touch and there is lag and so slow
49,Great way to listen to all your favourite music
50,It's so painful that it took 2 days to detect and connect to wifi and setup my alexa device . Can anyone tell me why I am not able to make call from alexa to my any mobile number through voice assistant.. it says can't make calls ..
51,So bad!I can't even get started 0 stars
52,the app is great and allows you to do a number of things my Google home mini can't do. Alexa is limited in some ways and the voice options aren't as great as I'd like and I haven't found a voice match setting yet to personalize responses from different people but otherwise I'm satisfied
53,I received help from an Alexa rep that fixed my connection issue very effectively and efficiently. Thank you so much!
54,👍
55,LOVE IT ❤️
56,Not user friendly. I bought it so that'll ring louder since I work on call. Does not ring at all
57,fair
58,anmolveer
59,Hell ya
60,didn't connect
61,"Good for setting timers and telling you the weather, but often times it doesn't even listen or open the apps that I ask it to open."
62,"Honestly, I wasn't interested in having one but after using one while babysitting, I definitely wanted one!After getting my first one I was amazed at how much you can do/get with it, I loved it so much I now have 3 in different rooms and thinking of getting another one 😀 Everything is so easy about it from the start with setting it up, as I'm not a technical person but it's SO EASY even for me! I use it for many things and I'm still discovering new things that you can do with it, THANKS!"
63,Alexa keeps going off when playing radio stations
64,Simply cool
