,content
0,It honestly cracks me up at this point when I think how much money Amazon makes and how terrible this app is. The UI stinks and the app constantly crashes. Sometimes just turning the volume up or down will crash the app. LOL! Excellent work! ABSOLUTE GARBAGE FIRE.
1,Love it
2,Full screen not Play
3,Why is the video quality trash? The video quality keeps breaking. Netflix doesn't seem to be having these kinds of problems.
4,Good
5,"It's a bit hard to surf and find than Netfilx, but good."
6,No any new movies
7,Or Hindi org content chahiye
8,Not good
9,We can see stuff but can not download it 😕. Still it is a good app Thx
10,App is not working properly. When I played a movie first it took too much time to load then only audio was playing and screen was blank 😔.
11,Nice app
12,Excellent!!!
13,macam konto
14,Good app but many movies are not available in Hindi
15,Love it!
16,Nothing created new account and password west time.
17,Still getting that license service call failed error Playing in Google Chrome browser has no issue otherwise
18,Use this app on my ChromeBox computer. Gives me easy access to movies & TV Shows. UPDATE 7-3-2023 Lowered rating from 5 to 3 stars. Listings no longer shows If the movie/show is Prime. I have to select the movie/show to get information. Listing no longer shows if the movie/show is leaving Prime. Listing used to have a colored triangle showing number of days left in Prime. The notice now blends in with the text and ie easily missed. Please Bring back the old intefrace
19,Bug cant open
20,After subscription why we need to rent movies this is wrong boycott prime video They all making money
21,"Disgusting app. I am not able to login..🙄easily. Very slow touch response. Not easy to use the app. Amazon!.Please make it easy to use and ""redevelop your all apps"" & also make the latest and easy to use looking interface of your apps 😊🙃."
22,I am updating. Issue got resolved. I am changing my review. My play back was HORRIBLE. Videos were stuttering and freezing. What I did to FIX it was go to BOTH my amazon shopping app and prime video app and cleared the storage and the cache on both apps. I then rebooted my phone and everything started working. No more freezing and stuttering. Edit my review Its still freezing and stuttering. Will only work on shows that have add's. Still waiting for support to respond.
23,"Slow loading, when going out of the app for a second and coming back... Loading again, slow poor app"
24,Veriy fradu
25,Deaxdddd
26,best and cheapest aus film subscription service
27,"Hackable, pos !"
28,😃Very Nice😃
29,Amazon has made it exceedingly difficult if not impossible to rent/buy in either app. Why even have separate apps if it's a glorified viewer. I'll just continue to rent on YouTube if they're the same price anyways
30,the best feature was the download icon at the bottom. Now gone with the latest version
31,The app is not working 😭😭😭😔 https https plans guys can do the needful in the same company team
32,Now it works and no longer crashes after 2 seconds but now the quality won't fix it's self no matter what I do it's always at the lowest setting. Plz for the love of god fix this app and make it work like it's supposed to. side note: the audio sound's compressed and the audio sometimes goes out of sinc
33,Better than Disneyplus hotstar
34,over half the things i wanna watch.glitch with green in them
35,"Whenever I downloading something on prime my phone hangs for few minutes and then restart only then the download begins, it happens every time I tried every thing cleaning cache update the app, fresh reinstall but nothing works"
36,"I have tried 3 times to reinstall and get the code in my tv bt always error comes and show get new code, do something. I am prime member."
37,too late for waiting otp code. i think amazon must fix it
38,Monster High Presents: Karpet Merah Anugerah Seri Angkasa 2022
39,"I'm finding more and more, what I really want to watch I'm having to rent or buy. Also, more and more, the shows I decide to watch have adds. So I'm paying for Prime video.... then I'm having to rent what I want to watch. And if I don't have to rent the program then it's filled with adds! I'm confused, I thought that was the whole point in giving up cable!!!!"
40,Forget Captcha Problem
41,Very good movies
42,"Can't buy or rent videos on my phone anymore. Used to for years, as long as the app existed. Called customer support, when I quested and actually found a working number with living breathing ppl, and the woman acted like I was the new one to the planet, saying it's always been that way. When I showed proof otherwise she mocked me for not having a computer. So yeah, it kind of sucks more now that I can't buy or rent stuff anymore but that's less money to Amazon I guess. Terrible service too."
43,1 trail free hai kya bro
44,"make it to easy to purchase, my son gets on here and gets him self movies and nickelodeon!"
45,I have s23 ultra but app not working 😕
46,"It's unclear why Google rules don't allow in-app purchases for Prime. To do that you have to go to the website abd then go back to the app to watch. Awkward. I uninstalled the Play version and downloaded it from the Galaxy store where I can rent videos and make purchases. But Play is sneaky. It replaces the Samsung version even though automatic updates is turned off. All that does is iritate me, everytime I have to reinstall the Samsung version."
47,"Ho hai hfllgo, Logghhll j mtdf M NV g ikrmi j On gyi Ghar o nut Got 😋"
48,In if
49,"Was much better when you could select free to me/on prime. The TV selection seems to be greatly reduced and, again, all the pay to view things seem to come up first."
50,Great Content and Great Products.
51,👍
52,you can't adjust streaming video quality on a specific video and that's very bad
53,Very bad experience as well service Almost show rental pay when already I'm already subscriber customer so why pay rental pay my favourite movie
54,Great for watching movies and TV shows
55,I could not open it up. Too many glitches
56,Love it!
57,OK cool
58,It sucks donkey d
59,Excellent movie selection
60,I wish that there were some more movies that weren't for rent or buy
61,Foreign movies caption hasn't worked forever...still doesn't work.
62,OUTSTANDING !!!!!!! 5 STAR PLUS
63,Half the channels don't work right. Starz flashes green every 30 sec. When you start videos on fire stuck or Android box always starts in audio descriptive. Subtitle never line up when another language is spoken.
64,"We have to pay for open your app and rent a movie from you again, why don't ask money for download the also"
65,I like this app!
66,I've never had a problem with the app. Works fine.
67,Love it
68,Good app. Occasionally downloads fail to play. Inability to purchase within app is extremely frustrating. Every time i open the app i need to reconfirm my cookie choices
69,"I'm not a fan of the ads, which is one of the reasons it's getting a 4 star instead of a 5. I also wish finding movies or shows you wanna watch was easier. Plus, we are already paying for prime, so having ALL, not some of the shows and movies be free, would be nice if you're a prime member."
70,"Not being able to buy things to watch through the app is ridiculous. I know why they changed it, but I don't care. Amazon removed a ton of convenience and functionality to avoid paying higher fees, yet are still charging the same or increasing subscription fees for use."
71,Great movies... but you could offer theater movies that just came out.
72,"Even with the adds, it's worth giving it a try for"
73,Wont open
74,Your app is just spining cant' uninstall app or re update. Just spins
75,Worst app ever. . I can't watch much because this app crashes OFTEN!!! daily sometimes. Considering canceling but it comes with prime
76,"I Like It, But I don't like the new look."
77,Alsome movie. I was on a roadcoaster of differant emotions.
78,Investor needed!!!!!
79,Amazing Amazon
80,I cannot see 'themed icon' native support in this app's icon. This is against the design Language of the latest android. You should fix this asap
81,The Prime Video is good. Could use some more personal improvements. On a Chromebook App the watchlist should be easier to get to.
82,great
83,Brilliant
84,If i give money.... Then i will choose Netflix or other not Amazon prime
85,It's loaded with 35 sec long adds like watching tv can't skip it's makes you feel like you are using some free Chinese app will unistall as soon as the subscription is over .
86,"All I want to do is delete this app, can someone please tell me how to remove it. Thank you."
87,"Streaming quality is poor and lags, and instead of suggesting the next episode in a series it suggests a random movie from my watch list. but i appreciate the pop out window so I can multitask."
88,Great
89,"Why, when I pay for Prime, do I have to pay AGAIN to watch some programs? Hasn't that prat Bezos got enough money?"
90,To many ads
91,It keeps hanging on my Galaxy tab A8. I have to restart to fix it.
92,"Vtteu . ..... . . ,Mmkuu a few minutes"
93,I'm not going to renew the subscription
94,"Great app, great experience, only problem I found, sometimes, it's a weird greenish flickering in between frames. Not always. Rest is amazing."
95,"Worst application, I was just logout my device and try to login again saying that i can't play video because of logged in into another device, worst application"
96,"Modi greedy company I have ever seen , Most of classic movies moved to rent ,Netflix charges almost the same amount but they don't show these cheap mindset"
97,prime video content is so limited in Pakistan why And you charge us as well other site Netflix give as so much control plz do something in Pakistan prime video content and fix it
98,😠
99,"It's a good app but... on my mobile device it only plays the sound and not the video. I'm Uninstalling it again and see if works with the next download. 7/2/23 Update: Still no visual display on my mobile device, just sound. That sucks."
100,The app interface is very good. The description and imbd ratings and all information of any content are seamlessly embedded which makes the viewing and choosing any sort of entertainment very easy. Just a small disappointment is the subscription under subscription a request please keep other subscriptions in different niche or tab .
101,Tari 💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩💩
102,Worst experience with tv app. Not at all working. Not able to sign in.
103,Prime tv app is not working
104,Epic
105,Helps me with my coping skills 👍🏼🙏🏽💕
106,"Thre are not many options and 80% of movies only have regional audio no hindi,hindi version is available everywhere but in prime its disappointing,you should rather watch movies in YouTube"
107,"It's okay. I'm signed up for Amazon prime but still don't get free access to all the shows/movies. Guess I don't understand how it works. This is all the ""TV"" I have to watch and I pay for Amazon prime so I would think it would work better."
108,Love it!
109,That review was from a long time ago & yet this app is STILL HORRID! I'm sure Amazon can do something about this issue!! Constantly reloads- if not for Columbo I would close APP
110,Bed
111,👎👎Bahut bekar paisa se chalata hai 👎👎👎
112,I love prime since 2017.... sometimes i think prime is better then anyone ott streaming platform.
113,Nice
114,Not freindly user...
115,Worth the money 😜
116,Actually the major prblm iss ki jab b open kro bhut adds ate 😒
117,Best movie
118,App is not working in my Mibox4 after the latest update. App pause after the display of logo. Please fix.
119,"User interface nya agar lebih mudah digunakan, seperti zoom video hrs manual ga bisa pinch to zoom"
120,Prime video player like 19 century because Brightnes and sound option not available on screen... Please update the like VLC or MX video player..
121,They are charging another subscription/rent on almost all popular or new movies. Why should I pay subscription two times firstly for Amazon prime and another for watching the movie. This is really a cheap strategy and not expected from this giant company (Amazon).
122,Add option to double tap / swipe to seek 10 seconds
123,Rubbish content Very few options And area restrictions Disappointed Money wasted
124,Visual quality needs to improve
125,What your problem it is download the app and try to try again updated
126,App is good
127,Nice
128,"App asks for cookie permission every time I open it. Just don't use them, this is a horrible experience."
129,Bakwas fake they tied up with lionsgate best movies are on lions gate if you want to watch movies on Amazon prime then you have to rent or buy that movie on the platform of lionsgate means first you have to buy Amazon prime then you have to buy lionsgate subscription this is wrong better to go with lionsgate subscription 🙏🏻
130,"Prime video Bahut hi achche se kaam karta hai , mujhe bahut pasand aaya"
131,Wrst app. I've paid. And still can't use it. Again asking me to recharge. Hate this app. What about my money?
132,Nice😘
133,No dolby and 4k support for Xiaomi pad 6 ?
134,I have taken subscription but app not opening showing some bug fix in this app after updating please solve it
135,Super entertainment
136,Put every show on rent.. Harry Potter is also not spared . Why should anyone buy subscription?
137,Excellent app
138,"Cant watch my downloaded movie, because of expired subscription. Then renewed to continue the film. THEN, can no longer watch because of no subscription? B.S. Even watching online? JUST RENEWED MY SUBSCRIPTION!!! this grinds my gears..."
139,Prime video is all services good really satisfied
140,Useless
141,Dislike having to leave the app and go to Amazon to rent or buy a video/movie etc. Used to be able to purchase right from the app. And sometimes you can't find the buy option on the Amazon Home app.
142,Plz upload the latest movies
143,"I had subscribed this for 1 year, but recently i had changed my mobile, and prime video is asking me again to subscribe, what to do?"
144,"Probably have the worst interface in the world just learn from Netflix, thats why it is no.1"
145,Most movies on rent 😑
146,I love prime
147,"I have tried everything possible to contact prime and Amazon it is simply impossible. I have access to my account but it seems I have no subscription but I'm still paying my monthly account fee. I cannot cancel anything as the system registers me as a non- subscriber. Please help, I'm at the point of contacting my bank and making a complaint of fraud."
148,Worst subscription app
149,I'm an overseas subscriber. Why is it that I pay for prime in full but don't get the full benefits? I can only watch a handful of what's available. The math doesn't add up.
150,Really slow streaming. Not my end as all other streaming services work fine. Very hard to cancel subscription. Claims I'm not subscribed but still charges me.
151,Very poor search. I searched Avengers and it shows movies like Bahoobhali. No option for language filter
152,Is it that hard to add subtitle?
153,"Security check buat daftar eror, menglang terus"
154,"It was working in the beginning, but now, it's just subtitle and color black. There was no update of anything, I don't know what is wrong with it. Tried restarting my phone, everything is just black."
155,Good???
156,Everytime screen goes blank and subtitles go off!
157,Superb quality
158,I watch this all the time it brilliant and affordable
159,Some really great shows on here...but some of my favs have been removed. (Psych) so still a bit peeved about that.
160,Nice
161,Good
162,Promo code redeem kya nhi bol rhe ke apne redeem kr liya hai bad service
163,One of the best. Easy to use. Made with common sense. You don't have to look in some unrelated folder to find what you need. Video quality is excellent. No complaints so far.
164,"Keep alerting that I owe money and my payment isn't due for two weeks, yet My bank is showing when it usually withdrawals payment yet for two weeks I've been getting alerts and notifications about my membership being on hold or cancelled ."
165,👌😊
166,"The brightness setting of videos literally sucks. There is no option to increase brightness inside video. Even if phone brightness is full, video clarity remains the same. Low light movies watching is worst experience on Prime. Suggest to improve the same just like Netflix or other platforms do."
167,We need to rent so many good movies after having the Prime subscription so this just doesn't make sense.
168,This is worst ott app. I am unable to purchase the premium plan. The selection of country code for mobile number is not working. This app is testing users patience. Not recommended app. Worst worst worst experience at all. 2 hours time wasted with this app
169,Prime membership is not worth it. Hotstar plus Netfix is very good quality content . Your looks old black app
170,Awesome
171,No current movies just very old movies and the video quality is so low
172,"Love this app, never have had a problem with it. Let's me watch south park:)))"
173,Cannot see video
174,Why r u rent fees for any new movies 👎👎👎👎👎
175,Less than optimal. Doesn't use wi-fi by default. Recommendations are hilarious
176,Unable to download any video on my one and only device. I have an annual plan of ₹599.
177,Consistently works! Great offerings.
178,Earlier the platform was really good but now a days all their best movies has been shifted to rent Store and and all the low budget movies except 2 to 3 good movies can only be seen from the subscription
179,Best ott
180,"3c2nkn3, 3ek3, che C33X 4"
181,My only dislike is that you have to go to the actual website to buy/rent things
182,Love the movies and tv shows you offer
183,Abe speed ka option kon se update me jaake dega..jese hi update aata h itni jldi krta hu ki ab aagya ho shayad..
184,Very bad experience with prime video.... They taking too much mobile data & taking too much price.... Netflix far better than prime
185,ข้ามอินโทรไม่ได้
186,Worst app ever. It makes u subscribe and then asks u to rent a movie. Whats benfit of having prime membership then. What to pay for..? Dont go for prime. Worstttttt app ever. If had minus rating wud have rated maxx minus points... I was watching a movie the second day i see it again in continue watching it says rent it. Worst app never subscribe
187,Worth of every Penny and lots of movie and webseries
188,Movies when I want them.
189,Excellent
190,ok
191,Muy buenas series y películas
192,It really good.i don't regret subscribing it.
193,"I enjoy the huge selection to choose from. For extreme laughter, watch ""Ghosts""."
194,Very easy to use
195,Subscription +add on ????seriously
196,Worst app
197,I tried to sign up but I'm tired of doing security check 😭 like how many times do you need me to verify that I'm not a robot? I did more than 20 times and now it's still going on! Please help 😭😭😭😭
198,Great to have
199,I used to love it but at the moment it's driving me nuts asking for cookie preferences every time I open it . It's fine on the TV but it's annoying on my phone.
200,"The quality of movies, why is it that my phone that has 2k screen stream in 720p even though i have 5g and high speed wifi"
201,Hugely impressive
202,This is a useless app. This app get more puzzle that why I am no given the rate to this app. So clear the login to this useless app
203,Thos app can be much better!
204,Lost of Lost
205,It was okay till FREEVEE TOOK OVER You know how Aggravating it is to Pay MORE for LESS? Seems to me everything is pay for and subscribe anymore 👍
206,"This app never works I can never actually watch the videos, I can only hear audio and I've checked all my settings and I'm not behind on updates so I don't know what's going on."
207,XdszSSSZSx🇦🇬zAZSZDDZaaza🇦🇱szzzz🇦🇱🇦🇬🇦🇽dadAw
208,I installed the app and as i entered my details they are asking me to solve puzzles....its fine about one puzzle that we understand that it could be a part of procedure but how many puzzles....sorry not entertaining
209,Camp Aise Mein movie ka fayda Utha
210,Pretty good
211,Bugs
212,Video quality is poor even in best streaming
213,Forgotten password system is worst
214,IFL Amazon Prime Video
215,"Content is good but the app is the worst. There is no easy button to keep watching where you left off, you have to look for the episode youself."
216,"एट एट एटEww a SS edएक बार फिर ए टीएम एसएसजेडए, ओ,डीgdgsf wa"
217,👍😁
218,your content are Waste of time and money.... Total flop movies and series
219,Won't send stupid code so I can't even start!
220,Easy to use app and good titles available. I just wish they would offer subtitles/ captions for everything.
221,Separate payment for most of the stuff on the platform now. The original series don't come back As often or as good
222,Excellent
223,This apps still worst I can't watch the movies in Spanish
224,Great app
225,"can watch on my tv in the living room, but not in my bedroom it wants to charge me to watch the same show. WHY??? even offers me a 30 day free trial after I've paid for service...Again..WHY, Please?? Also I clicked on TV, WHY does the options say..phone or tablet??"
226,"Beware this app is very easy to join, but very difficult to cancel the subscription"
227,Great movies
228,I love Amazon prime video lots of Christian and faith based movies
229,2023July03 THE BEST ☆☆☆☆☆ ☆☆☆☆☆ The Best The Best Always. Superb. Fantastic. Thankyou Amazon Prime Video You Are The Always Super Best. 10 STARS FOR YOU FROM MYSELF ☆☆☆☆☆ ☆☆☆☆☆
230,Es genial
231,8 P
232,Garbage same movies and tv shows nothing really new gets added
233,Casting requires purchases & rents. To cast you need a phone subscription $150.00-&250.00
234,to hard to navigate. not easy to find what you are looking for. Original app was good enough
235,"💩 Amazon should be embarrassed. App is buggy, clunky, missing basic features of modern streamers, terrible on android TV and intentionally lacking basic google assistant media control. Trying to promote your platform by allowin an app this pathetic to exist with your name on platforms you dislike just makes me want to avoid anything with your name on it."
