,content
0,Exilent
1,Ok
2,Fun time with game and very much good for mind concentration
3,ٹایم ضائع کرنے کے لیے اچھا گیم ھے
4,Good
5,Kkk
6,Very addictive
7,All good
8,Just love it.Addicted😊
9,Always been a good game
10,MS Dhoni 🔥 🔥
11,"Many essu, boring and verry little live No support to candy team"
12,Luck
13,Marbeles
14,Total definition of fun🥰
15,Fun game I like it
16,Oopp
17,Nice game
18,Buy kot Sweden aaps
19,Good
20,Love it 😍
21,❤️
22,This is outstanding 👍
23,Nice game
24,Fun
25,You can play offline and it's really fun
26,Awesome
27,I hate this
28,Love it
29,After saw ms dhoni viral video i came here and download it ❤️ ms dhoni is love ❤️❤️
30,Ridiculously hard. Fully encourages unnecessary spending. Just changed from 2 star to 1. They now limit sending lives and the levels and so blatantly hard to FORCE you to spend money it's laughable. I'll just stop playing. You won't get another penny from me. Absolute scruffs. Furthermore they've now grayed out the mail inbox to stop you accepting lives haha. Your greed is disgusting.
31,Fun
32,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
33,"Still designed to make you spend money. Played when it was popular 10 years ago, hoped it wouldnt be the same but it is still the same concept - only lets you win once every 10 games or so unless you buy ridiculously overpriced booster packs. Fun as a time waster, predatory for gamblers and those who need to win. Get ready to click through 10 ""sales"" between every level."
34,this is best game..
35,Nice
36,I downloaded this for only one reason that's M S Dhoni playing this app.
37,Nice
38,aa
39,Best
40,This is very good game for every year ages younger man
41,Nice game
42,Best tym pass game
43,Naice
44,Super
45,All time fevret😘❣️
46,Mice
47,Nice game I also paly this one of my favourite person palying this game m.s dhoni ❤️❤️❤️😁😁
48,Nice game Entertainment
49,Halke me lega kya
50,Present some videos
51,Mind relaxing 💯
52,Very exciting experience ..
53,Nice app
54,Love it
55,"This game is becoming useless, what happened? You can longer install it."
56,Nice game
57,Fun
58,Good game
59,Nice game
