,content
0,I will be like you guys Halley and Smokey Tavern! Remember that I come in piece Brescia Zordiack
1,"I purchased a yearly subscription and I can barely even use the service. I've reached out to support on multiple occasions, and the issue is still there, at this point support isn't even replying to my emails, live chat says their engineers are still working on the ticket with no update. I can't use the service and I paid for a year....total waste of $$. no support to fix their services that barely function."
2,"The app is relying on the android os to verify if there is an internet connection or not which is just lazy coding. I have a firewall so the ""android system:1000"" service is prevented to connecting to the net for security/privacy, so at an educated guess this is what the CS app is using instead of just bloody trying to connect to curiositystream domain....."
3,I CANNOT MANAGE MY PLAN. THERE IS NO WAY TO ACCESS MY PLAN EITHER IN THE APP OR THRU GOOGLE PLAY STORE
4,This got way too expensive and I can find better stuff on YouTube for free
5,Why does my Lenovo M10 Plus (3rd gen) tablet [Android 12] now show CS like it's a phone? It's like there's a phone in portrait mode in the middle of my landscape oriented tablet. I hope this additional information clears up that this isn't a phone.
6,Movie won't play
7,"Some of the presenters overuse cheesy narratives for effect. Ludicrous statements like ""space isn't the last frontier - the insect world is"". Really!? Enough of the hyperbole. The platform seems mostly factual and has good multimedia content. I originally gave it 3 stars and was pretty blunt (I admit I am easily offended). I guess my biggest complaint is that the ""academic elite"" simply cannot control their liberal agenda. You can sure tell which side of the political landscape they are on."
8,There I a problem connecting to Curiosity Stream
9,Cannot manage my plan within the app. That's very shady.
10,Have paid through amazon prime video but cant watch from curiosity main application... this is not good
11,"I love the content on Curiosity Stream especially for the price. The problem is I've found that the downloads feature is pretty poor. I will click ""Download"" on a video and if I leave the app, the download will seemingly stop. The worst part is, when you restart the download, it starts over. It does not save the content it supposedly already downloaded. This creates an infinite loop making downloads impossible unless you leave the app open during the whole process, which can be a while."
12,"Endless docs & stories, great for a boomer like me!"
13,"It is the worst app ever I used. I am sorry, guys, but you are just frauding our money. Please stop it. Even youtube is much better than you guys, style up men and grow. We are not here to waste time. Please,"
14,"Lineup is okay, could be better. But it's the functionality with Chromecast that has been a pain. There's always trouble with linking or having the video start properly when I rewind. Every now and then, it lags, too."
15,Forgot I had this. Went to open it on my tv and remembered why I stopped using. It doesn't fully load everything so can't pick much to watch. Like there's blank squares tht has nothing like the list can't populate properly. Definitely canceling subscription
16,Curiosity strain app on Roku keeps locking up. Makes me get out of the app to get to content
17,Do not subscribe. It is nearly impossible to cancel.
18,Good
19,"Looks like there might be some good content, but I can't get it to play on Chromecast. Every other steaming video service I've used works on Chromecast at least most of the time, but I've never been able to successfully cast Curiosity Steam on my TV."
20,Amazing real content
21,Has some really good shows and affordable too. You'll really learn.
22,Service sucks. It is choppy and freezes. Trying to cancel my service and there is NO option to do so!!! I am beginning to smell attorney interaction! These guys are complete scams.
23,"Is now worthless, All my saved videos under ""my stuff"" disappear. Long episodes like ""Giants"" showing 52' play for 2 minutes and then go to next episode where the same thing happens,"
24,I'd like to rank higher but my watch list keeps self-emptying for no reason after I spend lots of time searching for stuff I wanna watch. I'll add something to my watch list and it just won't appear there. Makes it hard due to the huge volume of video options and I can't immediately remember the 2-dozen and more items I thought I had saved for later but now I need to find them again and I guess write it down on paper??
25,"Fun, educational, interesting easy to stream content."
26,"No ""try before you buy"" option."
27,"Download speeds are unacceptably slow, queuing multiple downloads causes them to stop completely I think I will cancel my subscription. Upgrade your servers, these slow speeds for a paid service is unacceptable. It shouldn't take 15 minutes to download a 25 minute video. Response to your comment because the review system doesn't let me respond. I asked for a refund and they ignored me, I'm going to ask my bank to reverse the transaction because you guys suck"
28,I really like the app but i wish it wasnt so glitchy a lot of the series dont work very well
29,"Isues on SO Android TV 11, is not marking the watched movies as on tablet version of Android 11, a lot of people are now watching on tv with Android tv now so is very important to fix this!"
30,"Error loading video message on Samsung tablet. Note how this app as a strong ""one star"" rating. This service is really bad. Although curiosity stream is cheap, I won't be renewing. Even ""cheap"" is overpriced when the content is limited and the app does not work. REALLY BAD folks."
31,App only works in portrait (vertical) mode. Full screen landscape is preferred and recommended when viewing videos.
32,"Can't log into the app. Have updated my password twice and I keep getting an ""JSON Parse error: unexpected token: e"" error. Even uninstalled and reinstalled the app."
33,"Good content, however the use of the app, navigation, subtitles, etc. are all a headache, incluiding finding content you left unfinished. If you use it on multiple devices it's impossible to find were you left watching last time. Subtitles extremely often malfunction, pause and rewind also don't work. Sometimes you want to watch someting but just won't work. So... Very interesting content, the problem is the interface."
34,I had signed up for your app in 2021 as there was a discount. Last year it got renewed as I forgot to cancel it and I didn't see reminder emails. This year I cancelled in advance and yet got billed. Please help. The email I have already sent.
35,Every video is in the history channel perspective that does not focus on education but rather entertainment
36,"The content is great, but the app is awful. On my tv, it's choppy and if I pause, it comes up with a network error. The interface is complicated and I am never quite sure what I am looking at. I would just add it to my Amazon prime but it was a gift so I have to use the native app."
37,"the application will force you to use portrait mode no matter your tablet settings. many times it will fail to play videos and switch to casting mode, even when there are no devices around listening for castings. it is a shame as the content is good but the experience in trying to consume the content is awful. please do not reply to contact help via mail and describe the issue, they're easily reproducible and many customers report the same problems, just fix the application please."
38,Pleasant
39,Although you must pay I think it's a great value for what you get. Uninterrupted programs. A much needed application.
40,"Great app, would prefer more true crime docs. Like Netflix but a bigger range that would be nice. Other than that great app."
41,"Can I use my Google Rewards points to pay for a year's subscription? If so, how?"
42,"I downloaded and paid for this app twice!!! When I log in, it is still saying I need to pay again and will not let me access any of the content, even though I have paid twice. This app is a scam."
43,I still like it but constant buffering
44,"The app is okay. Very basic. Costumer support via Android TV is not great. For Android it's okay. Overall, great content but poor execution and support"
45,Content is very good but app needs improvement in its UI. Try to take inspiration from netflix that's super good compared to this.
46,"All the creators promote this app by saying you'll get exclusive content. They post the exact same thing here as they do on YouTube. It's not even posted early. There are a bunch of videos on this service, but it is just a paid back door to YouTube. A rip-off. Pay for YouTube premium and watch ad free plus get YouTube music. Nebula isn't any better."
47,"Forget the app, just use the website. Curiosity Stream is an excellent service, I have been subscribed for a few years. But their apps are terrible. The android app crashes frequently (I use both an old and a new chromebook). The FireTV app is difficult to navigate and get to what you want to see (Firestick). Would also be nice if a ""Continue Watching"" option was presented from the home screen, it's kinda buried now. I've deleted the app now and just bookmarked the web page."
48,"While the content is wonderfully, I cancelled my subscription year ago and now I see in my account I was just charged 20 dollars for this app. You lost all credibility with me"
49,"I can't login anymore after the march 2023 update. The app keeps returning a parse error. It already had a tonne of issues, like slow downloads, search function that didn't work, etc. But this parse error take the cake."
50,I can't get this to load on my television. I got the app from the LG store for my LG tv and it won't load. I will not pay for another month as what's the point if it won't play on the tv
51,Grat content and cheap subscription❤ worth it
52,"I played with it before getting irritated with it. Like all the others, it was quite enthusiastic to take the money, before having any real opportunity to test it out. I noticed no ability to search by keywords for desired content, instead having to flick flick flick through the thumbnails to seek out interesting items from those shown. It was like a giant channel flicking exercise. And I just tired of it."
53,"Virtually impossible to get out of Curiosity Stream, can not find how to cancel subscription......very annoying in fact, I don't have the app on my phone, I hate paying for something I do not use....."
54,"I subscribed 4 years ago and watched a few programs and never watched it again. I've let it renew annually all this time due to how cheap it is but now I'm trying to cancel and it's practically IMPOSSIBLE to cancel. Unless youre absolutely committed to keeping this service for life, I DO NOT RECOMMEND THIS SERVICE."
55,"This WAS a great app. Now it crashes and claims ""network error."" No longer worth the subscription."
56,"I can't watch ANYTHING. All I ever see is ""error loading video / TRY AGAIN"" for each and everything I try to watch. Simply does not work!"
57,"I like the way how it can't stream to my chrome cast TV, even though stream is in its name. Very meta."
58,"Hey bro, where are my 4k videos ?"
59,Kindly bring Transparent Subtitle View in the app similar as web. And Zoom screen freature is also missing in the app.
60,Excellent choice of documentaries!
61,Your broken app won't let me log in
62,"I purchased the Smart Bundle annual plan for which I have already been charged 80$+ (including taxes). However, after purchasing the plan I noticed one of the subscriptions the plan comes with is not available in India and no disclaimer was provided on the website for the same. There has been no resolution for the issue however the team falsely promised to extend the subscription by 3 months. After frequent reminders, I noticed the plan has been deactivated & I have been cheated out of my money."
63,Awesome learning on this app
64,What a waste of time. Can't even do the payments properly. Most of the episodes are available on YouTube.
65,Programming not what I am looking for.
66,"This app sucks, worst app designed ever thanks for making me unsubscribe"
67,This platform has one of the best collection of independent documentaries. I'm happy I subscribed. The only downside is; the app navigation can sometimes be complicated hence the four stars 🌟
68,"The content is well-produced and styled along the lines of early History Channel documentaries. However, also much like the History Channel, the subjects often skew toward sensational and even lurid pop history rather than being truly educational. Regarding the app itself, it seems robust enough although it's somewhat clunky compared to competitors like YouTube."
69,"Great content. App needs work. Not optimised for television (Google TV) or android tablets. I cant store offline videos on SD card. The rewind and forward functions are finicky. And much more to go on. Developers, Curiosity Stream has a big potential to become really popular, just make the user experience across all platforms great please!"
70,Awesome
71,One day trial is needed before collection of money.
72,It does not work properly The contents are very nice I really enjoy with the application however it does not work properly especially in a smart TV. It turns itself off every 3 minutes. It needs to be improved
