,content
0,App is great but it keep stopping randomly which at first wasn't a big deal but now its gotten annoying and more frequent.
1,"FLIPPING LOVE DEEZER. Didn't like Spotify, Pandora etc..... 100🤌🤌DEEEZERR"
2,Great streaming service. But please... don't use video advertising!!
3,"1. App randomly stops playing in the middle of the song. 2. App randomly starts playing last song, sometimes in the middle of the night when the phone hasn't been touched for few hours."
4,"works well. occasionally crashes. song catcher hasn't worked for ages, use Google search instead."
5,"Got very expensive for Kazakhstan. It was $3.75/per month, now it is $10.99"
6,"Only paid version in Ecuador, solo hay versión de pago..."
7,"Good app, but currently glitched - albums not showing when viewing an artist."
8,You can't ALWAYS get your music
9,Ok so far but if I don't get connected I can't download nething
10,Great choice and good enough quality for an oldie!
11,excellent
12,"Used to be great app, but now it constantly changes songs order in my playlists. Often plays songs in reverse order (1st song in playlist becomes last and music stops after the song end). It's extremely annoying and at this point makes me wanna cry"
13,It's been a couple of years I am paying the subscription. Weird playback and auth bugs popping out of nowhere all this time. Loose customer support. The dev team seems to be somewhere else. I am kinda surprised of a such a relatively high rating for such a buggy app.
14,Sha 3488_&$ (8;((
15,Joined the beta program and it wouldn't let me log in at all. So tried to leave and had to uninstall the beta version of the app and reinstall the public version. Have now lost all of my downloads that I've accumulated over years.
16,way better than Amazon music!
17,I Really Love That I Can Listen To Whatever I Want Old And New. And I Also Love The Fact That I Can Listen To Deezer While I'm Driving At Night Without Having The Screen On My Phone Distracting Me While I'm Driving. And So Much Awesome MUSIC. THANK YOU GUYS FOR YOUR AWESOME HARD WORK YOU DO TO GIVE ALL US IN THIS WORLD GOOD ENTERTAINMENT. ITS OUT OF THIS GALAXIE GOOD. AND IM FORSURE MY ALIEN FRIENDS ARE PICKING SOME AMAZING 🙃😃🤫👽🛸🪐🌠🌌
18,This sucks like why is it not available in my country
19,"Great sounding audio, but am I really getting what I'm paying for? I pay for HiFi, but there is no way to tell what the bit rate it Kbps is of the songs playing! This also collects data not relevant to provide use services. Protect your data people!"
20,Coolness
21,I love this app. I am able to listen to golden oldies I had almost forgotten about and have heard some fantastic new rock that would have never been aired where I live. Sadly I am no longer able to listen to the free version of this app as it is no longer available in the country I live in.
22,Awesome
23,I have been using Deezer for years now and I have enjoyed it i need music to focus calm down and manage stuff durin the day and Deezer has managed to get the job done and I haven't encountered any bugs 🐛 but some other people have do maybe it depends
24,Doesn't have lyrics for everything but good app. Wish there was an inbetween plan though because in order to use the app on multiple devices you have to have the family plan which is for 5 people and I just don't need that.
25,Average.
26,good
27,App doesn't work stuck in offline mode so cant search anything RUBBISH!!
28,Personalized songs that hit for monent
29,pretty cool
30,GREAT APP
31,Not login or sign up
32,So far so good. (Premium account)
33,It's bad
34,If you live in America your payment will probably be declined so they can upcharge you on the new yearly rate. Why not just inform me? That sucks.
35,Love the app and great choice in music but could really use an watch app like Spotify and YouTube music
36,Llp
37,"In the past few months, song catcher has become next to useless."
38,SONG CAPTURE NO LONGER WORKING I have uninstalled the app an installed again still no joy.
39,Absolutely fantastic thanks
40,Please i cant subscribe when i log in my account details...
41,One of the only places to get hi-fi but the app is not stable and sucks for music exploration everytime i play an artist its the exact same songs i have to look up specific songs practicly to use. For example of stability the songs will stop playing and has error retreiving data they really need to hire better stability testers and adopt some sort of song exploration algorythm
42,the best
43,Love how it changes volume from making a call to playing a game
44,Was working fine till 5 days ago... the app just broke 💔 down try and get it fixed
45,"Excellent music streaming service. All my music dreams came true. I am satisfied with HiFi sound. Playlists are excellent, the best in class. Please develop something like Spotify connect or have better integration and better search options for Yamaha and Bluesound because not all features are available. Sometimes it is impossible to fave an album or playlist in mobile app. In the desktop app please put all albums in the beginning of discography, not some of them in the end after featured in."
46,Good app
47,"Muy mal , pague en mercado libre y no puedo entrar a mi cuenta."
48,Deezer: Music & Po... Rate this app Wynn wong Review are public and include your account and device info Learn more
49,I can't even sign in to my account.
50,"After having deezer premium for 10 years switching to a Spotify due to a problems with constantly pausing music, and closing app. Invested a lot of time in communicating issues with Deezer suport but no soluton that would work out, came out of it. Heard same experience from IT guys around and got advised to switch to a Spotify. Also had an issues with braking in app, changed all the passwords i used but still happened."
51,Always plays remixed versions of the songs I ask for awful and certainly not what I pay for time to move on to a different service
52,"This app used to work good I had the free version, I did not have any complaints, however, some advertising started bursting in so laudy forcing me to put the volume down for 30 seconds which is annoying specially when I work."
53,"Baddest shiz everywhere I go! The shiznet massively! The One! Rock the ffffoorever out...no interruption, pausing,best quality music anywhere, honestly!"
54,"Overpriced, many missing tracks with the paid version. Awful user interface. If I select a band, it'll play the same song several times and never play the classic hits , plus will randomly insert unknown bands into the playlist. After cancelling, the free version is barely functional with the added insult of an ad after every song. Uninstalling."
55,"Ads have gone through the roof, and you force us to hear about the lgbdqabdzqr every 5 minutes. Don't download!"
56,Been using Deezer for a couple years. High quality music and user friendly.
57,"Its very bad honestly, my experiences with the app are mostly awful. Poor design choices, long loading time, stupid search engine, lack of customer supports. And last but not least , the ""Hi-fi"" support on Smart TV (not android TV which has built in chrome cast and stuff),for example Sony TVs and Samsung TVs. They are super annoying cause i spent tons of money on the high end speaker setup and the TV just to listen to some 160kbps??. Unreal"
58,"I've been an annual paying customer of Deezer for 3 years. Everything works perfectly, never had an issue, don't understand why people are complaining, especially the free users. What I love most is the user interface. It's simple & works like a dream"
59,love the mix playlists way better variety then Spotify
60,great music
61,"I was hoping to replace Amazon music but I keep selecting Bob Seger Turn The Page and it tells me unable to load page, an error has occurred."
62,haven't experienced any problems good music app so far
63,I like music over
64,Let me login in my account
65,Si on est premium ça change bcp de choses mais pas premium on a aussi une bonne expérience je recommende cette apli 😊😀
66,Please add unlimited playlist size. It's time.
67,"Fix your app..... every time I go back online, I get random foreign music I have never listened to in my playlist!!!!! Once you fix it so that never happens then you may have a 5 star rating"
68,"Cannot log in since the latest update - I keep getting a ""It is currently impossible to sign up to deezer in your country"", despite: - Deezer being available in my country - This account already exists, so there's no need to sign up."
69,Info from account on here ended up on the dark web. Not cool. Just discovered it's been there since 2019. Hope there isn't any damage. Workin on resolving now. Any help you can provide? I got the app for my new truck to play music. Didn't work so I didn't use it. Probably still have the app on an old phone. Very disappointing cause had high hopes for my new truck audio
70,Great
71,best if you want hifi audio!
72,the interface could be easier to navigate
73,"a wonderful app, in other words the best that I've used ♡♡"
74,I've been using it for 8 yrs now along several countries and the 90% of the time I have availability of the most part of the music I'm looking for.
75,the shuffle is very consistent. Flow provided too many already favorited songs.
76,Wow
77,Набијем на курац цео Дизер тим.
78,The app stops working at times. And after taking a call the music also just keeps on stopping. I'm only sticking with Deezer because it will be a hassle to re download all of my music again. Would rather have gone to Spotify
79,Such good music recommendations. Love it. LOVE the music quizzes!
80,Ita your loss again DEEZER !
81,Very bad 👎 😕
82,Im not paying 10.99 a month to listen to full albums. Only lets you hear maybe 2 tracks then have to lsiten to over 2 minutes of advertisments. So its bye bye app. Unless you can afford 10.99 a month dont bother with this app
83,"Good enough for getting off the Apple Music hamster wheel. However, app keeps stopping, crashing after 20 to 30 minutes. Very annoying, as I do work that requires intense focus for long stretches and would like my flow to not get interrupted by sudden silence. Also, #Deezer gives no info on albums or artists beyond the basics. Would have been nice to have similar level of information as on Apple music. It at least a link to online info elsewhere."
84,"Used to lo e this app but like every other business they got greedy and started charging for ad free music, can't you do anything for the people, but money will always be companies preference"
85,Still having issues with deezer. Rather switch back to Spotify since they don't give me issues like deezer does. Can't press next on the lock screen when I'm listening via Chromecast. I literally have to go and unlock my phone and press next. Plus the music selection isn't the best. It doesn't play what I'm looking for.
86,"The same as any music app, just waaaay less popular. Less custom playlists. What I dislike the most is that it's not fast to load and open, at least not as fast as something like YouTube Music. Also they advertise a higher quality but I just can't perceive it. Maybe because I'm not an audiophile - but if I can't, the average listener probably won't either."
87,Best sound quality ever plattform
88,pays
89,to many times stop working and turns off
90,Love the freedom and options. Good music app. I've used a thousand different ones and this covers them all.
91,The customer service is rubbish
92,Getting seriously unhappy with more and more songs getting suddenly not available in my country. Why is Deezer doing this? Considering switching to Spotify.
93,got my body in awesome shape🤞 (long story ❣🤙)
94,Deezer is not available free.
95,the Best music player. I've really enjoyed
96,Awesome!!!
97,"I was using deezer for last few years and last 2 weeks is constantly stopping-completely crashing down. Aside of that, every 4th song or so which i have downloaded cannot play so i repair it, works for few times and than again. Pls fix it, i dont pay this app for crashing and not playing!!!"
98,it's incredible. i have passed my best night. c'était génial
99,App exceeds expectations
100,"I have tried to contact the developers, sent them an email a week ago and haven't received any response yet. I am going to cancel the subscription that I have and uninstall the app."
101,"thanks again for share all that magic of music, and be part of us thanks really appreciate it... you're gays (Deezer) are awesome 😎👍... be good Deezer are number one..."
102,Perfect music app!
103,I like Listening to Music and I have my fav song is Symphony
104,"Why not the possibility by style, year or country?"
105,Best sound quality with HiFi option.
106,Terrible app. Forced me to make an account just to use the song analyse feature and then IT DIDNT EVEN KNOW THE SONG. Waste of time entirely.
107,This is nice app I can download music in office that's amazing
108,Perfect
109,"I like it. it's simple, it's easy to use, and it gives me easy access to the music I enjoy. I'll give it five stars."
110,This is not cool everyone that has this app check it your info is part of the data breach because mine is I need someone that work for this app to connected me know or else I'm suin👎👎👎
111,what a trip!
112,So many bugs its crazy. Maybe it was good before but for last year it is terrible. Just avoid it. I used it for 1 year and I will now try with spotify
113,better then Spotify
114,Quite happy with my Deezer experience for over 5yrs now..however the app randomly stops when there is full wifi and cell dara signal available. Could you check in to that? Cheers
115,it's worth the month no ads at all
116,Worth a try. When it finds a tune that sounds nothing like the original how do I delete this?
117,Thought this was free
118,highly recommend!
119,The sound level is too high and leads to clipping unless normalisation is turned on! This is a serious flaw. Recommendations algorithm is behind the competititors. All else is great.
120,Nice app
121,"Easy to use and can find just about whichever song I want. One downside, I had been paying for premium for a year and close to the year it started glitching like mf and kept telling me there was an error with playback after just one song. Edit: it's been a year since I ended my sub, and the random ending of playback has continued/gotten worse and now there's an after every bloody song. Bet Imma start looking at other platforms."
122,Uninstall
123,"Now that is not free access for mexico anymore, it's completely useless, I was looking forward to pay subscribtion again, when possible, but it's discouraging, with this, I rather don't pay and look for a more friendly service, and I don't want apologies or excuses, it was good while it lasted."
124,Too much space
125,I wish i could sync podcasts with other apps. Also impossible to add podcast episode to playlist or queue
126,false info
127,This app is just so cool despite its existing challenges
128,"Deezer is so awesome - just straight foward and I can find any song I think of any time! LOVE Deezer, best music app I've ever used!! Thanks"
129,I've had all the other music apps. And they don't compare to deezer!! Deezer has a lot of music that the other apps don't.
130,Gr8
131,"Still having occasional issues, but overall STILL LOVE MY DEEZER!!!"
132,Suddenly free version not available in my country.
133,This app is full of propaganda and they are always trying to sell me something
134,Bro you can not play offline
135,I love the quality of the audio
136,"That's sad. If it was 3 euros, not 7. Would be fine."
137,Insane
138,Awesome 🤩🤩
139,I love it!!!still
140,otimo
141,Niiiiiccceee!!!
142,Hope it's good
143,DEEZ NUTS (I recommend deezer tho )
144,"Has a good selection of music, all functionality I care about is available through the app, the search function works well, and overall it just does what it's supposed to. Great app!"
145,Tell you after trying
146,"Used to work just fine on my OnePlus, but ever since I switched to Pixel 7 this app has been disastrous. I have to manually turn on the equalizer every time I open the app, and every time I skip a song or play a new song. And sometimes the equalizer doesn't even work. If it helps, I connect my phone to Bluetooth speakers. But this has been the case across multiple speakers and wired headphones."
147,helli radio 📻
148,"With the occasional bug or two, this app is in my opinion, the only competitior to spotify. Nothing else comes close. Deezer has all the music spotify has, the features are all there, but on top of that, you get to benefit your artists more."
149,"doesn't work, subscribed for premium but cannot save any songs, trying to cancel now"
150,Always loved Deezer and always will. Great update on new music and affordable package options
151,"Ad after every song. The music found is good, but I hear an ad & I just quit listening next thing it's the middle of a song"
152,"1000000 times better than spotify here its almost unlimited music tracks and no much ads , and deezer doesnt add some songs that i might like"
153,very bad
154,You better really like bon jovi if you're gonna download this app
155,Great app! Has everything if not more than Spotify.
156,The sound quality is simply the best!
157,"Excelente, pero le faltan detalles; por ejemplo no puedes usar el telefono como control mientras reproduces en otro dispositivo."
158,Dope
159,"used to be great. but lately, proper glitches. doubt it will improve. & the song catcher feature (which used to be brilliant) is now utter garbage, i am absolutely fed up with the words ""something went wrong"" when trying to use it. There is NOTHING WRONG with my Internet/wifi connection!!!....but everything is completely wrong with that particular feature."
160,Awful personalization in Flow. They will force you to listen what they want you to listen. Your opinion on this doesn't matter.
161,Super mjuz
162,"App slowly and increasingly starts to bug and freeze over 2-month periods, I have resorted to reinstalling the app completely on a semi-regular basis. The new features of track numbering and extreme rounded corners are unnecessary."
163,"Hi Deezer, I don't why your app is no longer responding after updating it and paying for subscription. Please fix it"
164,De la pub même dans la version payante (recommandation sponsorisée)..... En plus du fait que l'application a du mal a lire des titres téléchargés dans la plus haute qualité lorsque la connexion wifi est instable...
165,Well app
166,"App is now stopping in the middle of songs. On top of an only ok user experience, this makes it unusable for me."
