,content
0,Very good
1,Best expensive app
2,Good
3,I love this app
4,Good
5,Good app
6,Good
7,very op app
8,Nice and very easy app for transferring apps and file to laptop
9,Very simple sharing app
10,very good app this app support transferring app to pc
11,Iam happy with this app it's easy to use but data transfers speed is slightly low
12,Nice app
13,Very nice 👍🙂
14,Awesome aap
15,Good
16,Good
17,Nice
18,Good app
19,Good app
20,Good
21,Owsm
22,👌🏻
23,Perfect App. Highly recommended. 10/10
24,Awesome
25,hebwisbrjicuri8cu
26,Chudo
27,The speed is amazing love this app
28,Very speed transfer
29,Mast
30,Good
31,Very good app
32,Good
33,Really good
34,Good very good super nice good
35,Nice and useful app to exchange data between devices. Hotspot mode is useful for PC.
36,Very slow to read phone memory
37,Very slow to show phone memory
38,Jj
39,Quality app
40,Best app
41,nice
42,Nice
43,Good 👍
44,Hak ssj
45,owsam
46,Good
47,Not use these app
48,Nice 👍🙂
49,This app is very good for sharing i always use it to share apps on my old phone to my new phone. Also it is better than other file sharing app but this app uses higher android versions like android 4.4 and up and it is not compatible on my old android tablet but it's just ok if it is not compatible on my old android tablet. My only problem is sometimes the app's apk is not fully transferred because it's divided into another apk like base apk or others. I am using an android. Please fix this bug.
50,Best app suddenly transfer files
51,Good
52,Good apo
53,Nice experience with this aap.....
54,Excellent
55,it's a good app used free. no need of credit card.
56,Good
57,Ok need more super fast speed required
58,Gajab ka app h bhai definitely apps or files ko share ya recieve karne ke liye use karo Jai Shree Ram
59,"1) Crashes when I go into the video folder to select videos. 2) Sometimes doesn't show latest downloaded videos in video folder. 3) If you try to manually share video files from gallery or something, this app can only share one file every session, not more than one. No proper file sharing app is available these days in market"
60,Nice
61,Nice
62,Qn
63,I like it
64,Very good 👍 very nice very fast
65,Very fast very good very nice very easy lovely app
66,Gud
67,Good
68,Excellent work
69,Superb
70,Good
71,Good app. Tranfers files very fast
72,This is good app
73,Good
74,Good apps
75,Great 👍💯
76,Very nice Thanks 👍👍
77,Soooo good
78,Connecting problem
79,Good 😊
80,Vvb
81,"Super , 👍"
82,Good app
83,This app is very useful 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
84,Nice
85,Really good and 🚴三fast other app 🤭
86,Noice
87,It works really well
88,Easy to use and speedly work
89,Amazing
90,Just amazing
91,Good
92,Nice app
93,Nice app so far 😉
94,Super
95,Super app
96,Nice
97,Superb
98,❤️❤️❤️❤️🔥❤️🔥❤️🔥❤️❤️🔥
99,Bakavas
100,Good
101,Good
102,Exlent work
103,Sanjoy Bhakta
104,Nice application 👍
105,Nice and simple 👌
106,Good & easy to use.fast
107,WOW.... IT WAS SO AMAZING EXPERIENCE.... WITH IN A MINS I SHARE MOVIES VIDEOS😍😍😍😍 it dosent interupt👌
108,Amazing 🤩
109,Op
110,Good
111,Good
112,Very good app hai fast kam karata hai
113,Super 😊😊
114,"NOT WORKING AT ALL on my POCO C3. Tried so many times. It's not working. The moment i click send button & go for file selection, it returns to it's main window/screen. Note: All permissions were given to app."
115,Good
116,Gj
117,For some reason hotspot won't connect
118,Good app
119,Good
120,Improve to make in india campaign.
121,It's good Hfhbz
122,Good
123,Awesome
124,"aplikasinya sangat bagus, aku suka, bisa share dari hp android ke esia, nenek kakek ku sangat bangga dengan aplikasi ini😇😊🥶😎"
125,Best sharing app
126,Good
127,Super fast Quick connection Compact size Everything that one can expect 😌 5 * for sure....
128,I love this app.It works so good in my abdroid device
129,Awesome
130,✌️
131,Nice
132,Fastest app to share file from mobile to pc or vise Versa 😁😁
133,Very nice app
134,Very nice app
135,Nice
136,Amezing
137,Good
138,Ok
139,Best app to transfer from mobile to pc
140,Banana
141,Great app
142,Fake app
143,Nice
144,Good 👍
145,Good
146,Ffyu
147,"Excellent, but taking too long time"
148,Super
149,Nice app 👍
150,Nice sharing app. I send 3.88gb file in one minute
151,Watsapp
152,So far so good
153,Ooo
154,Good
155,Good app
156,Good
157,Good app
158,Good
159,Good
160,Love it app
161,Nice
162,Noice
163,Nice
164,Good
165,Good
166,Best app
167,Nice app. Please increase the speed of files transferring if possible :)
168,Good
169,Excellent speed of transferring data
170,Good
171,Thanks inshare
172,Good app
173,Better and best but please remove ads
174,Very good
175,Ok
176,very Good App
177,Excellent app for sharing videos.
178,Gud
179,Good
180,Best sharing app
181,👌👌👌
182,Better to share it.
183,Bhut accha app pro max++++++++++++++++++++++🥺🥺🥺🥺🥺🧿😂😂😂😂😂🤦6🤦🤦
184,Good
185,Best shareing aap
186,Nice app but sometimes it time to connect
187,😄 good app
188,Nice
189,Not good low speed
190,This app is good
191,We love too much❤
192,Good App
193,Very Good
194,Nyc
195,Super
196,Ss
197,Best app for sharing images
198,Best sharing app super fast
199,Best sharing app super fast
200,Good experience
201,Awesome
202,Super
203,I think it is best app of file sharing
204,Transferring speed is very slow 😡. Others apps transfers very fast long files but inshare transfer speed is very slow 😡. Improve it!
205,Best
206,Super
207,Good
208,Good
209,Nice
210,Nice app
211,Good very good very very good
212,Good app. You can customize what you wanna copy to the other device. Most other apps can't do this. Thanks so much.
213,Fast sharing
214,Ok !
215,Great app
216,Good
217,SUPERB
218,"Nice ,fast and no adds"
219,Nice app 👍
220,Super app
221,Super Se Uper
222,Nice app
223,😍
224,Nice one
225,Nice
226,Very nice
227,Bahut hi Kaam ka jyada se jyada Download kare
228,Ok
229,Great aap very easy to share files thnks in share team
230,😍
231,🙏
232,Yy
233,Red
234,Good app
235,Good
236,Smooth interface eazy to use
237,This app is very helpful.Thanks for this app .
238,Super
239,It work good in laptops
240,Best parformns
241,Excellent
242,Excellent
243,🥰🥰🥰🥰🥰
244,"Nice app,Easily transfer data."
245,Op app fast sharing and smooth
246,Best
247,Veri good
248,Qa At
249,I try this Apps
250,Such a nice app
251,nooob
252,Good
253,"This is my worst experience in this app a samsung a20s sender and vivo y20s receiver cant transfer a fricking 3gb file, still didnt work reverse order whats wrong with this"
254,Nice
255,Super
256,Cool❤️🌸
257,Excellent
258,Awesome
259,Good
260,It's very super app
261,Good
262,Good
263,Good
264,Really easy faster
265,Very poor and very useless app i ever used!!! Full of ads Not working properly Unnecessary Scanning and some stupid things Etc..!
266,👍
267,Very quick and easy
268,Very good app
269,Very nice
270,Wah
271,Really nice app
272,Amazing 😀
273,Amazing 😍
274,Very good
275,Best sharing app
276,Wrost experience
277,Good app
278,Sending files automatic canceled again and again without completing & when files sending pc its complete in 2 times Wrost experience 👎
279,Ilike the app
280,Good
281,The best
282,Good
283,Really Fast
284,Good app
285,Nice app
286,"File Sharing - Inshare fails to meet the standards expected of a reliable file sharing app. Its sluggish transfer speeds, frequent connection issues, intrusive advertisements, lackluster user interface, and privacy concerns make it a frustrating choice for users. With numerous alternative apps available in the market offering superior performance and better user experiences, it is advisable to explore other options instead of settling for Inshare."
287,Super
288,Very good app
289,Nice app
290,Nice aap
291,Good
292,Osm
293,GANESH NAVALE
294,Good
295,Good software
296,Easy to use very help to move data
