,content
0,"No one can beat zerodha kite app in the field of trading. But there is biggest problem in chart of indexs like finnifty, banknifty and all big indexs. Chart interface is not good. You must switch your chart interface like dhan and fyer chart interface."
1,Margin increase..when you need money.
2,Extremely useless UI! Stop moving items here and there! Now there's just no option to invest in IPO
3,Zerodh Please new trdingview par Chart Update kB aaye ga ?
4,Best app for trading
5,"There is a problem When I use zerodha and select trading view chart for trading & use cursor for see some particular candle, entire charts are moving with cursor.please solve the problem."
6,NEED some updates...VERSION....
7,Good
8,One can use this app for equity trading. I never recommend it for option trading. No proper in app option chain. You can access it only thru web direct. Non user friendly causes delay in order placement especially for option buyers. I think zerodha is after money making now. They charge 200 fee just for nothing. Very negative impression.
9,Excellent App.
10,Zj I'll nuaaaaa Nygggiigogoogggggg
11,Graph not display very definitely rivew
12,Good 👍
13,Please add figure and percentage both in gtt order. Because when in hurry percentage creat confusion in estimating SL and Target. And improve the app so that we can see chart and P&L in one place.
14,Good
15,"W wz,q,e ew,,w y,,,r। rn, daa SS aa cc CT CT"
16,Please add always on display feature.
17,Update my kite
18,Pathetic UI for everything the app routes to external chrome browser
19,Its good but some improvement in the aap
20,😡😡😡😡😡Zerodha app Third class he. Zerodha se to Accha angal one app he.
21,"I don't see IPO Option in My App. Even i have updated the app. On Apple & Android, but i couldn't see the IPO option on both phones, please suggest where should i find this option? Previously, it shows on the Account page with portfolio, tradebook & all But now there is no any option of IPO & Please tell me from where i can get the schedule of charges debited by zerodha on shares? Because I couldn't find it anywhere. Please Help"
22,"Open, close,high ,low was first better when it was fixed on the left....now it goes along the +....very much disturbing.please give option so that one could choose accordingly."
23,I am not able to see IPO option in Portfolio
24,UI is worst👎 & I don't received notifications for order execution
25,"Very bad experience , no proper intimation regarding trading disable option, Nse and bse disabled for my account as i am not trading for last 1 year. I left 6 lakhs worths stocks in this account and waiting for proper time to trade. Today i add funds worth 1.5l and try purchase some stocks then o got to know this. They will intimate one thing about their amc charges pending info. Very bad . I have to kept my 1.5 l idle for two days at free of intrest to zerodha. Console will work only in chrome."
26,ok its solve my problem thanks
27,मस्त है जी
28,Pathetic app
29,I'm trying from 1 week to install this app but it's always showing pending. What to do ?
30,App not working since latest update. Unable to load charts. Kindly resolve issue before market opens monday morning.
31,Best
32,"O ,"
33,To much delay in chart opening Lot of bugs everyday
34,CDSL authorisation issue
35,Charts are never accurate
36,"Update is bakwas , can't see candle charts properly also for some of the charts can't see 1day, 1year chars properly, bring back older version that was too good compared to this bakwas update"
37,upgrade version is very worst...
38,Nice
39,Good
40,Fast Service took only 1 and half day for opening Account. Nice app. Interface and fast price updation . Great. 👍
41,IPO Apply issue
42,Net banking fund added charges is not good
43,"Best Trading Application (I want to give 5 star rating, 4 is given because the brokerage is a bit high.)"
44,Good apps user friendly
45,New update ko plz plz plz hta do....bakwaas....auto refresh hota rhta hai ..baar baar.....jb bhi open kro
46,"Lacks essential features. Ironic to see leading discount broker's app doesn't have all the features. The entire console is unavailable on the app, any thing under the menu of Console prompts to open in web browser. Unable to understand why Zerodha hasn't made those features available in Kite or why haven't they launched seperate app for Console?"
47,"Good supb now today i update my kite apps in mobile,get a priveous interface look at present time . I m so haapy its oprate easy and use tools and so many things in one click .. Maintain it. Easy to oprate in mobile .. Good job kite developer Team"
48,"Worst apk now a day if I'm placing my order it is not hitting my target I miss my target, and I have lost it better to go for upstox great apk my experience with zerodha is worst now a day"
49,Very worst update..old version was good
50,Unable to even login to account. As it get logged off automatically even after entering otp multiple times.
51,"Asking me to restart the application and make the payment again due some issues the signature. kindly solve this issue, I don't want to pay twice."
52,The App is easy to use but if we comparing the other app's they also easy to use and also they give us more features and facilities to trade. Option chain is very poor and lack of information. If we explore other app's they have quite good interface and also very informative option chain. Its hard to believe zeroda is No.1 broker in our country. Zeroda if you read my reviews please update your features and improve options chain.
53,"It's good app for intraday trading as it provides facilities to set ""Stoploss & Target and GTT Order's"" while placing the order which is very helpful for Intraday Traders but this app certainly has a Lot of Room for Improvement as many features are difficult to use and adding ""Options Scripts"" to the Watchlist is very-very Troublesome and is like a Nightmare..., it needs Improvement as soon as possible...."
54,Awesome.
55,"Very good, but still needs some improvement First of all on mobile app there is no option to save scales of more than one chart in trading view charts option, scale should be saved within chart when lock scale, also switching from dark to default mode scale lock reset which should not be, second in this chart scale properties view doesn't fit on mobile and not convinent to use. Please make update to app with this feature"
