,content
0,Good 👍
1,Very reliable although to unlock all cute stickers amd background u do need to use money ao if u don't use money u don't get all the things wich can make annoying u
2,Amazing Journal Diary 😀😀
3,Gooooooooood
4,Nice to have a place to express feelings...
5,Hapoy tomorrow
6,Kebnyakan VIP nya jadi kurang seru dikit😕😕
7,I ride in a 247.
8,I love this app
9,💯
10,"It's my first time writing my diary, It's my first entry, I think It's a good app in my view cause sometimes I'm just lazy to get a notebook and write so, It's fast and easy to use, I really appreciate the developer's hard work, I recommend this app for anyone see my review, Thanks 💫💜>> ."
11,Love this app very much It keeps my memories 😍😍😍😍
12,"It's pretty good, I like writing on here. Just wish there wasn't a subscription, if ur wondering u can use it for free."
13,Amazing.....
14,This app is really fantastic i like it tooooo much
15,Nice and I give you bowls of porridge and I give you bowls of rice
16,It make me feel good
17,Great
18,I love this app
19,I just wrote about my day and it so easy to save but Im stil working on all the other things i can do Highly recomend it
20,Seems OK. Does everything I need it to. Have upgraded to Pro.
21,nice
22,Love it
23,It is very good. It the best app to keep our secrets. ❤️🥰
24,This aap is amazing
25,Easy to use and inspirational.
26,Nice.
27,"... .,,"
28,Nice app
29,Good app
30,Awesome
31,سهل
32,Just what i needed
33,🌷🌷🌷
34,"It is easy to use and I can review the info in multiple devices, basically exceeds my expectations."
35,I like this App
36,Excellent thanks
37,AMAZING 😍😄
38,I love so much
39,The ads can be annoying. THAT SAID I bought a lifetime subscription and it's TOTALLY WORTH IT!! This app is so cute and fun to use. I can add photos and emojis. I'll change up the style when I feel like it too. It also tracks your moods and shows you any patterns. I only wish I could ad gifs to my entries too. But that's a small wish.
40,Best way
41,This is beautiful
42,Very good
43,Idk
44,It's really good and I love it
45,"This app is everything it says, but of course you can't do everything because there are premium features but it's alot free and very worth it great app 🌚"
46,It's amazing
47,❤️‍🩹
48,This is a very good app it help expressing your emotions
49,Awesome and thank a ton.
50,It is amazing
51,Fantastic app so far. Better than a simple note taking app as this feels like you're writing on a proper diary. The ui and theme feels really great making it very immersive and encouraging to write your personal thoughts
52,Good
53,It was amazing I love the idea of a diary on my device
54,Good
55,A perfect diary to use. Wingerprint lock or a for number code lock.
56,Good And Excellent
57,The best
58,Great app
59,Ive been using this app for years and it works perfectly.
60,Mast he
61,This app is so good I give away all my bad thought and if feels relaxed
62,"Great app, I love it."
63,It is a wonderful electrifying and rejuvenating app that leaves one dizzy with delight
64,It's a good app for expressing our thoughts in words.
65,Good. Worthly App
66,Thank you
67,It si amazing
68,I Love This GAME it Is a Fun GAME
69,I dont like
70,Over all good
71,Love it
72,"I have tried many different apps to keep muy jornal. What I did not like from others is that I couldn't personalize it as if I was writing on paper. With My Diary, I can."
73,Good one
74,Very nice app
75,I love this app it's just Soo cool.
76,Not bad
77,I love this app its really good
78,Perfect app to maintain your secret dates and secret notes a secret.
79,Nice experience
