,content
0,Good
1,Super product
2,Giving worst products... After order they giving expire soon products
3,Very good
4,Every products are superb
5,Super Purplle Beauty products and good package and delivery time.
6,Amazing app good products
7,Delevery on time an
8,Purchase facility very bad not directly purchase first add cart Very boring No free shipping
9,Love it
10,Good
11,Love purple products with discount 😘
12,Always late delivery.
13,Not really the best and the products are not nice
14,Good
15,Good packing
16,👍
17,Service very bad and the order not delivered there timing
18,Amazing for beauty
19,Worst app I ever seen
20,👍
21,Good
22,Amazing
23,Very good ..m very happy from purplle and it's products..
24,Very good
25,Good products and timely delivery
26,I just love purple...they give me best products with superb packing..and also every time delivered on time or early ❤️❤️
27,Awesome
28,"One of the item is missing in the order, This is the reply i got- The delivery team informed that the box was properly packed and sealed. But I will definitely take your feedback and share it with the concerned team as well. If a product is missing from your order you will neither get your order nor your money, purple steals money like this"
29,Nice product and timely delivered
30,Best app for skincare shopping
31,"Delivery, product,satisfied and happy."
32,It's a nice experience shoping with purple THE product quality is too GOOD and also THE delivery timing as well as the packaging.
33,Nice
34,Always delivers before time thank you purple and products are good
35,There is no sale at rs 99🙄
36,Good app
37,"Very very worst product and waste for money cheating app .not good.return option irukku anal return panna matranga,damage thinks a kuduthu,nalla emathuranga.don't order.return pannalaum response ila...yarum order panni emanthu pogathinga"
38,Good experience
39,Just good 👍🏼
40,Wow app is wonderful and very interesting really I like this project because this app shopping take easy so I like this project 💕☺️☺️
41,What a disgusting app! There are many problems while placing the order.
42,Bed sare products Bad quality ke hai 99 bewakuf bante hai
43,Excellent service
44,Excellent
45,"Cannot add address while placing an order. Called up customer service, they hung up without resolving my problem. Wrote to CEO on twitter but no action. It seems they are least interested in attending a customer. Moving to nykaa anyways :)"
46,Gud service ✨
47,Worst app... Delivery always late. Bad customer care..
48,"Purple is a Fraud app, bought a loreal hair serum... They gave half quantity. Everyone should shop from nykaa its so much better."
49,Bahut achha app hai
50,Super
51,Good
52,Loved it
53,It's good and I hope you won't let us regret
54,Amazing products 😍
55,Good
56,Too good
57,M happy with purple.. 💜
58,"It is good ,thoigh any brand of products can find but yes all are not available .prce of the products r also not so high"
59,I am always shopping with you 🛍️🛒 with you 💕 purple 💜💜 and I will always...... thank you so much for your branded products and free gift 🎁 and extra discount..... Please gys without and delay go for purple 💜
60,"अगर आपको अपना कटवाना हो, चुतियां बन्ना हो तो आप इस ऐप से शॉपिंग करें अन्यथा किसी और शॉप से कर ले but पर्पल से बिल्कुल भी शॉप ना करें क्योंकि यहां बेवकूफ बनाया जाता है ऑफर के नाम पर या फिर सिर्फ खाली बोतल थमा देते हैं अंदर में प्रोडक्ट होता ही नहीं है, किसी प्रोडक्ट का चार बार पैसे काट लेते हैं अकाउंट से इस तरह से बेवकूफ बनाते हैं पर्पल वाले"
61,Delivery time very fast am sooo hpy.. nd packing was tooo good nd safety excellent 👌👍 thanks
62,Best app great deals 👍👍
63,Amazing
64,I m Happy ❤️❤️
65,Gud
66,This app was awesome.for all indian girls and women's 😊
67,I'm unable to adding my name and address in the my profile section. Tired of doing it again and again.
68,It's not working properly some time it's showing error or not placing order very disappointed 😞
69,Same products they provide
70,Nice product 👍
71,I am so happy thank you purplle
72,Superb
73,Very good experience
74,"Just amazing ,,mera to fav. App ban gya h as makeup purpose,, time to time offers,,free gift,,,elite membership k bad to maza he aa gya order of 99rs and no shipping charge love it"
75,Good experience ☺️👍🏻👍🏻
76,Nice app so easy to shop for makeup😁💄
77,Superb app
78,Budget friendly and I luv dis😍
79,Good experience
80,My order I'd is -36846589 I ordered 3 items but received only 1 item। Complaint raised immediately and demand refund for that. but no response from purplle representative. Please look into this matter at earliest and initiate refund as soon as possible. Thank you.
81,"Very 1st delivery..Good behaviour of executive, Good packaging also.....👍🏻"
82,Super awesome app . Happy with the insane amount of discount it provides . Extremely satisfied with the service.
83,Very good app
84,App issue. We cannot add a address
85,2w
86,Im fast time use
87,Very good 😊
88,"Nice app but,599 rs is only COD ...I hate that only! Okay everyone is nice"
89,This is very useful app. You must try now 😎😎
90,Very good experience nd the product's are also very good nd delivery was before time thank you nd the delivery partner was also very nice he greeted me very nicely ☺️
91,Best
92,Product are really good
93,Very good experience 👍🏻
94,Nice
95,The best thing i love that free products and eary delivery
96,"Natural products ,"
97,The app is having a bug and we are unable to access it.None of tje functions are working. Kindly fix it.
98,Good app
99,I placed an order on 14 june my delivery date is 19june still my order was not delivered waist of time there is no customer care no. Delivery partner didn't cal me but app mentioned that i didn't pick delivery partner call seriously i never place an order in purple again
100,All products are very good 👍
101,"Pehle use krti thi ye app, bht hi achhi hain yeh app,lekin memory full k waizah se uninstall krna pada, but ab install krne se v open nhi ho rhi hain 🥺"
102,Awesome app👍👍👍
103,"This app used to be my favorite app but that one product named ""good vibes rosehip serum"" ruined that impression. That serum burned my eyes even tho i didn't apply it near my eyes. Now I doubt every single product on this app."
104,Good experience
105,Very good experience
106,Very2 bad experience with the app. I am trying to add my address but it is asking again and again. Pathetic app
107,Awesome app...... I have ordered some time and it get delivered in less than 24 hours...... Love the experience...... The quality of the products are awesome
108,Nice app
109,Tym pr delivery or price bhi accha hota h
110,Very very good
111,I am very happy to shopping with the purplle and service
112,Good
113,Nyv
114,I thought to give this app try and Just bought a makeup product from this app the packaging was good but the product is not. When I started to use that product water is coming out from the applicator. Worst app👎
115,Thank you so much purple 💜
116,Can't save my address.
117,"Worst app ever..even if you ordered something mistakenly and then you want to return or exchange,you cant even return or exchange the products..i have lost my thousand rupees just bcoz the product i ordered was wrong and i wanted to exchange it..but there were no any option for exchange or for return until and unless the product is damaged."
118,Best shoping app
119,"Each time when I click on payment option in profile section, it says ""something went wrong, please try again later"". I am unable to remove old payment options."
120,Very good👍
121,Nice app products quality is too good delivery experience is also good
122,Best app
123,Nice app
124,Good
125,"Good packing, excellent service."
126,Useless app I ordered different product and I got different product. I am trying to return it occurs error.
127,It's best app for us.. m very happy with it😊
128,"I got the product one day before. Great, never experienced such a fast service with any other online purchases"
129,My experience was awesome 💯
130,Loved your service. I assure you ll be in my first priority in the list to purchase something. Tysm purple 💜
131,They put buy one get one offer on an product but I receive just one product if they didn't can give another product why they put false promises
132,GOOD PRODUCT 🥰 THANK YOU PURPLLE
133,Very good experience
134,Purplle nc app
135,Excellent experience
136,Excellent product very nice thank you so much
137,Best
138,Khub khub valo
139,Nyc
140,Best products of purple😊💜💜
141,I have faced Worst experience with Purplle App..They don't have proper knowledge about order shipment and command on courier service...
142,Best apps in the Play Store. The purple app. Thanku purple 💜 amezing app.
143,Products is very good nd delivery on tym..
144,This app is amazing 😍😍 I love it 💕
145,This is the number one app for makeup essentials I will buy all my makeup products from this app from now on.
146,👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
147,"Packing ,quality of product. Delivery on time. Free gifts."
148,It was a pre delivery of my order & I was very happy as I have to go to a party so much needed the lipstick shade I ordered.😊The delivery was quick & the product quality is also awesome as I was expecting.A biotique face tan scrub& faces canada lipsticks I ordered.I received a gift from biotique (biotique banana shampoo) and a free kajal from faces canada that's icing on cake.I really loved the purple app as there is huge discount also available on many products of my choice.Nice experience 😊
149,Fav
150,Nice
151,Totally fraud application i was ordered 4 item one gift item but received only 3 item one item was missing and one item incorrect but purple again and again denied return so please any one don't purchase item please purchase item to market because aapko item ko check kr skte ho online mein fraud hota h or mante bhi ni h customer ki
