,content
0,Still the same
1,Jvv
2,Bad
3,This game is veri veri good osam
4,Can you please do the next upgrade in india
5,Nice gamee 🌸🥀 lovely super game intresting game i am happy to see this rewards lovely game
6,Классная игра!
7,Cool and dadly
8,GOOD
9,I play 2016 year se per isko play karne se aachha mughe free fire lagta tha magar ab sybo game
10,Very good game 👍👍
11,"I really like it. Sometimes, though, it's a bit annoying"
12,So good I played a lot and I got so many money so I love this
13,ganda nito laro nyo na BWAHAHAH
14,Super game 💞🔥
15,This game is excellent
16,I like it
17,Playing this since childhood!
18,Mind blowing Game
19,He's the varegoot
20,Mind blowing app
21,I love this game and it's characters
22,"Fun, challenging,"
23,"Why it feels so awkward this season with this colors ?! what with it ?! and not everyone feels good with this pride and it's not cool it's against the natural and religions.. it feels disgusting , and if want to deal with this .., you can just turn off this colors just keep it black and white it much better .. now your game looks to contain sexual promoting .. is your update still gay ?!"
24,fun
25,This very very very gooooooood!!!
26,I wish to have next update as classic subway surfers.please
27,لعبه سلبيه تدعم المثليه
28,It's very nice game. I enjoy playing it. It is very user friendly and I hope you will also enjoy playing it. Every season in it brings in new characters in it and is. more fun
29,I love how I get excited to finish the missions but I never finish them♥️♥️😅
30,Very good game
31,This game is intrusting
32,It is good blc it is easy hard
33,"O.. I. 9..o. . K😭Kklomb. , . :::)??? 9.._."
34,🤩
35,This is awesome game🥰🥰🥰🥰🥰
36,World's best game ever
37,Yup
38,Love this game as usual as always 🤭💗
39,Nice game
40,Good ☺️
41,Lovely 😍
42,This is best game Thank you
43,Good game very interesting the game will relax us
44,Nice game for relaxing your mind
45,It's not good it supports LGBTQ
46,win
47,Best best game offline game
48,"Why so much LGBTQ FLAG is in the Game? May Allah Punish you, who is manipulating small kid's Brain.... Fear Allah."
49,Nice game 🎮 👏
50,That game is very good I like this game thanks for making this game i will give 4 stars out of 5 thanku
51,Nice game but they support LGBTQ
52,Good gane
53,I love this game
54,It can get ban because of🏳️‍🌈🏳️‍🌈
55,Honestly my childhood and love the TikTok memes too but still overated
56,Very good gameplay with the girls and boys are happy with you
57,Very nice game to download i love this game and i play this game since 5 yrs but I can't unistall this very nice game
58,Good
59,Bad
60,Noce
61,Great app
62,Ye game bohoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooòooooooooooooot echhhha hii :)
63,Have been playing this game 🎮 since 2015 it's funny The game play it's perfect and the graphics are good 📱
64,I really love playing this game in particular especially when I buy new players
65,It's a game why do you have to include the LGTV flag everywhere 👎🏻 stopped playing it when I saw the flags
66,I like❤ this game
67,Excellent
68,Super
69,Great game
70,Very good
71,pake cheats aja😴😴😴
72,Good 😛game
73,It's a pretty fun game!!
74,This game supports lgbtq community that is why i gonna delete it because we are Muslims
75,Hi I thought you should update your game based on horror theme and token will be scelton's head . it will be intresting . Ok Thank You
76,Toooooooo amazing to be true but after every 3 to days it restarts
77,It is very very very and very good game it ha good 👍 controls
78,This is your children's harm full plz dont
79,Meh
80,Nice Game 🤩
81,My frist game
82,Very nice game 👍👍very time consuming and you play and play to get into championship rankings I highly recommend this game
83,It's very fantastic game. I play this game for many times and I always enjoy this game 👍👍
84,bad game and they are support LGBTQ
85,Good game but update problem. Update any 5/7 days.
86,I love this game 😘😘😍😍
87,Nc👼
88,Promoting lgbtq 0 stars
89,I love this game so much i can play it the whole day because it keep me busy
90,Hate
91,Mind-blowing
92,Its fun and very easy to play very addictive you can play endlessly for hours
93,Hammad Raza 786
94,Its very nice but take dont updaate apss so dont ples
95,The best running game ever destroyed . YOU ARE SUPPORTING PRIDE MORE THAN EVERY OTHER GAME 🏳️‍🌈🤨🤢!?
96,Very beautiful game
97,I play this game in childhood it is still very good game
98,This is my favorite games
99,This game is super 😍 it doesn't have much ads and that makes it relaxing and amazing 🤩😍
100,So nice 👍🙂👍👍🙂👍
101,Eisir
102,Vjfhi .
103,Excellent Game
104,I love it Is so much fun so I'm give five stars
105,Whene you start supporting LGBT oh hell NO I'm not into that man
106,This game is nice and subway surfers is my favourite game
107,I can't believe that this iconic game fell into the hands of LGBTQ community as now it is unplayable as I m a muslim. The game was such a child friendly game but now look at what it has become
108,I will say u should play this game once
109,عالی
110,Good
111,This game is superb
112,This game is ok ok not good too much as a time pass game 🙂🙂👉👈👍
113,Too good!
114,"I loved the game very, very much until you added the Transformers Flags update. In my opinion, the game is the Best but the update is the worst"
115,Thanks for this game I love this game so much
116,Ch xicuctdetjgjt
117,No rinbow for kids... Stop that
118,BEST GAME
119,Great experience so far
120,This is defrunt all games i am empresed🤗🤗
121,The game began to be 🏳️‍🌈 and i am mslema
122,Nice
123,I play this game since my childhood and now u include igbtq+🙂 that's why i give 1 star for this F***k**g Update🙂 (U just ruined my childhood)🙂
124,my sakmal philippines
125,Bhailal rupabhai mulani
126,Baht a chcha hai
127,I laekate
128,"Just killing time , great game to play if you are retired with no grandkids 🤓"
129,Prepare to make the subware house by the way the world is like a good game as like
130,❤❤
131,Just amazing 🤩🤩
132,Nice jj nn k j8. Jnn n jp
133,So cute
134,Noob 🤕
135,Mere Bachpan ka Game hai
136,Good
137,Amezing game ❤️
138,Good
139,It's a good thing to feel happy 😁
140,Good
141,My favourite ever
142,Usu
143,APPLE
144,I like this game
145,This is a very nice game
146,I play subway surfers from Pakistan 💙 I like this and please subway surfers director give me 50 USA dollars 💰 please help me
147,Its a really fun game i have no complaints
148,Nice game no bug
149,This is a very good game but I think there could be more improvements made somehow idk what improvements but yeah some improvements are required...
150,Super
151,I can't leave my kids play on this any more and not just my kids the kids of all my family are removed this game because they tried to manipulate kids !
152,I would like if there would be more types of clutching thing you could use
153,Nice 👍 geme
154,Pratiksha Hidadugi
155,I used to love this game but now that it's openly promoting LGBTQ pride thing it's just not ethical you must realize that this is an openly excepted game for children haven't you though what effect it would have on children for every parent I would kindly request to delete this game in your child's phone or else it would have an negative effect on our kids and future generation.
156,این بازی خیلی خوب است
157,Nice and amazing game
158,Very very best time pass game Mera time pass to isse hi hota hai and khelne mai bhi utna hi maza hai
159,Super
160,Nice game
161,I♥︎this gamep
162,Give all bundles
163,Nice 👍👍👍 game 👍👍👍👍 😲😲😲😲😲
164,This game is at the end of the day of the day
165,I love this game and also I have been playing with this game and I just love this game I am playing this game for 5 to 6 years best game ever
166,1st birthday party 40th grade and we can go back and forth between That's good and u know what you doing tonight and then we will be here 2 to be there in about half an HR ago and it will take a 🚿 and then you will be in my life is good for me I was just thinking that I was going on and I don't want to go 🔙 to the hospital and I have to be there at about half hour and half a day or 🌃 and sweet potato pie is the best of the African American Horror Story 🏨 and I don't want me there at the 🌙
167,Bdj
168,Lovethis game
169,Classic but good
170,1namer
171,"It is a very nice game i came in world 2 position in this game i like this game to much my highest record is35,50,306"
172,This game is so good
173,Loved this game until y'all started supporting lgbtq. You know yeah yeah it's just me and stuff but what about the kids? That's bad for the kids. If I had kids I dont want you showing my kid your mental illness to him/her. You can be a stick if you wanna be I'm not against that cause I've already matured enough to understand. But what about the kids? What are you teaching them? How to be gay? How to be trans? No way.
174,view that home and Bangladesh the Bangladesh the Bangladesh the BNP leaders the are home set the bit bat and two years ago bit hgs Bangladesh therefore therefore Iran and Ivy has God himself v hit him get
175,sajjad
176,☺😘😊🤩😉😘🤪
177,oh!
178,Great
179,Ho gaya ye 😡 hai na Kaun i phone mere pass nahi tha ki tum iirurvrfv rjdr ucrw tc to be a w a
180,I like this game its a wonderful game
181,I love this game more but I'm giving one star because it's making me addicted so I'm going to leave this game 😔
182,This gameis good for timp pass
183,Extremely nice Sometimes where tokens and others are being placed is quite anoying
184,Problem with connecting internet
185,when i try to watch ad to revive the add isn't working it's just black screen
186,It is very good and enjoying game 🎮
187,Unfortunately Pride disease has effected this game as well
188,😘
189,This game is very good
190,I love this games it's my favourite
191,Very nice
192,Good. Game
193,One of the worst games I have ever experienced
194,Nice 👍👍
195,×3
196,Its sooo nice
197,This game is fun and love to play. I'm going to give it 5 stars because this game is fun to play.
198,اوووووووووه
199,Great game but i would really like ut if you create a hoverboard with both super jump and. super speed please....
