,content
0,Its alright
1,Cool
2,Good
3,was in the USA not even local
4,Very nice app
5,I would really recommend this app
6,Great
7,it was okay
8,"We have to pay,to use this app? Lol ya right on that one! Jokes."
9,Pretty cool
10,"Wonderful so far, I'm very pleased."
11,Great
12,Some people are nice and some people are rude
13,Full of spam people ask for your email and bank details. Use only for one day and delete. The worst app I ever use .
14,Good app
15,It's good
16,Its good
17,Love the app it sell fast get the app now I selled stuff near me so easy
18,After I post 2 things the app won't let me post anything else and I re download the app several times and idk if it's my phone or if it's the app
19,Good
20,Good
21,Doesn't let me post up a listing. What a waste of valuable time. 😡
22,Absolutely amazing
23,It's very nice and user friendly
24,Dont download it. This app sucks. It did not work
25,There's only 2 items on here or so👎👎👎at the moment
26,Massive
27,"A lots of scammers, asking you to send money and trying to get your personal information"
28,Simple and convenient
29,Just trying
30,AWESOME
31,Good
32,Fantastic app 👏
33,So so not a useful apps
34,Easy to list & sell items. Easy to find what your looking for.
35,Do you actually need to pay to use this app to sell £29.99 seems to be alot when you get no interest
36,Not sure
37,I love it
38,Good Use
39,No one uses this.think was American? Got rid of it.
40,Very Nice App !!!!!!!!!!!!!!!!!!
41,Great app
42,This app is so annoying no one wants to buy your stuff I have writwn someone a question for 3 months and they haven't responded juts a very bad app it sucks I would give it a 0 if I could
43,How do i delete my account?
44,Wont download EVER
45,"Village is my favourite local buy sell app! Lots of great local bargains to shop in our neighbourhood, some of which are literally next door! As a young family, it's been super helpful to buy preloved clothes, shoes, toys, furniture, and other kids or baby stuff from friendly families in our local neighbourhood. Likewise been a lovely way to freecycle or sell our kids used stuff - love how I just take a quick photo, add a few words, and then it's immediately available for sale locally 🌟🌟🌟🌟🌟"
46,"Best selling app, love it! ❤️❤️❤️ Super quick to list, easy to chat with buyers, great local community feel, sold locally to someone in our neighbourhood same day. Now shopping for some amazing fashion and electronics preloved bargains for myself - lots of great local deals to choose from! Lovely way for our local community to help each other, waste less and do our bit for the environment! Thank you Village!"
47,Not in area
48,"Love Village! Best local buy and sell app by far, finally an app with real soul ♥️"
49,They force you to pay a membership
50,No buyers in my area just scammers
51,Pointless app opened once and then stopped working I wouldn't waste your time downloading it.... avoid
52,"Awful to use and ""customer service"" takes too long to reply to requests for help. Also asks for permission to make phone calls, which is rediculous. The app keeps freezing and you have to close it multiple times and reopen it in order to get it to stop freezing. You'd be better off with apps like shpock or olio tbh."
53,"This app has an easy interface but the worst part is that we have to pay for everything.We cannot see any other products listed.We keep on getting the notifications regarding the people's interest in our product but while we try to look into the chats,it asks to pay.This is really very ridiculous.I downloaded this app to be more comfortable in reaching out to customers nearby me or anywhere but this seems to be a scam."
54,Very frustrating when you want to open the app as it won't open and then you can't press back it won't let you so you have to close it from the middle/home button..you have to try at least 10 times before it will open it's very temperamental..not the best selling app I've experienced!!
55,"No one really buys anything on here. Its ridiculous. No one responds to messages, and they say it's free, but you have to pay for everything. You have to pay to send a message to someone."
56,Its a good app but there was no one near me but it is still a good app
57,Love it
58,Lots of great buys. Easy to use and understand. Also great community feel and chat feature. Kudos!
59,SPAM
60,Terrible. Periodt
61,It cool and nice
62,Excellent 👌
63,I love this app it's real and cool
64,Not really good
65,Im not sure
66,Get app but needake it where we can get a free booster to boost our product
67,Business woman
68,Cool
69,Brilliant Really Fun
70,Great business app for selling.
71,Very good place to sell things
72,No good It deleted my complete profile after one day. And asked me to create a new one. Plus it is not very busy Seems pretty empty.
73,Just started.
74,"Never felt more at ease selling on here, its better than shpock an all other sites I've used. I recommend this site to all. Just a shame their isn't more than 5 stars as I'd click more"
75,"Very nice marketing app, good to buy and sell In a good price"
76,The App is nice
77,Excellent
78,Good
79,This app take $106 from my bank account. Really????
80,Great app
81,Village is the best app for everyone. the support is always active and ready to lend a hand whenever possible.
82,"Very good , Love It, Its the best App for selling your stuff,"
83,"VILLAGE IS JUST THE BEST SITE, FOR SELLING AT ANY TIME. I LIKE IT."
84,Till now i only had scams...
85,A little bit complicated for me I can't seem to get the hang of it
86,No a single hit. It's a waste of time
87,I got logged out and never could log in again.and my ads were there to attract people and for decorations of his website.they want you to create new one and keep happening.but does they realise those ads never will reply to people?too many scammers and fake buyers.i saw too many people putting nudy pic as profile and no location or no any identification so just they are sex escort.not a good app
88,Haven't sold anything yet
89,dreadful - dont bother paying.
90,nice
91,"Brilliant, great, super selling and buying sites ❤️❤️❤️"
92,good
93,goos
94,great
95,"The slimey developer trawls through gumtree ads then texts people to get you to download the app. It's a disgusting tactic, can't even view their website or policies due to constant 502 gateway issues."
96,"Been so lovely to meet more people on our street and exchange our stuff with each other. Easy user interface, really fast to browse and pictures of my stuff looks great on my phone's screen. Was super quick and easy to list our car, and also totally free! Best way to buy and sell in our local area. We recommend it to everyone! 💚💚💚"
97,"Taken my number from gumtree ad , I got a text asking if my items are still available after i replied yes they texted back asking me to post on the app how dare they waste my time ? My info is on gumtree for one purpose and its not to be solicited by lazy arse app developers."
98,sad that this app targets people through gumtree and then harrases them to pay to speak to people in order to sell goods!
99,way too pushy. they dont leave you alone!
100,Amazing for buying and selling stuff with friendly people in our area! Sold really quickly. Quick collection. Super simple and easy to use. Fun browsing the photos of beautiful secondhand stuff people share. Really love everything is local! 💕💕💕
101,DO NOT USE THIS APP! awful. and they use your gumtree ads to reach out to you and spam you to use this app. don't support it.
102,great app
103,"How dare you take my details from Gumtree and spam me, very intrusive you should be shut down!!"
104,"click sell, doesn't do anything. junk app"
105,poor
106,Harassing through Gumtree adverts where they text you pushing the app. This is such a weird tactic and feels creepy. Don't expect the developer to explain themselves so I'll be warning others of this app
107,along with alot of other people they messaged me through my gumtree ad promoting this app which is very intrusive
108,thanks for this app
109,very friendly.xx
110,good app i like it and please like it
111,"Love that everything is in our local community! Super friendly, trustworthy and reliable people, easy to chat with to ask questions. Lots of amazing deals on everything from furniture, to baby & kids stuff, to cars, to jobs and property, with great photos, fast and easy to use and no ads! Cool instant alert notifications of new stuff so I don't miss out on latest deals! For me Village is the best local buy sell app! Thank you Village!"
112,"just joined village,have put several items up for sale but still not quite sure how it works!!!don't no if you should put a price tag on your stuff or wait for offers and I certainly cant afford to pay to talk to people (else I would not be selling stuff for extra money 🤣😂🤣)so don't no how am meant to communicate with people"
113,Don't appreciate being text as if its someone intresed in my Gumtree ad but really they're trying to promote this app. which I won't be using due to the texting me pretending to be a customer!!
114,great app
115,set up add on gumtree.. and got a messge to my phone from this app saying would i put up the add on here.. not happy that someone is stalking peoples personal ads with deatils and using them to put on this site.. this is waste of time ..
116,Would let u see the message
117,"Terrible, annoying app"
118,nice app
119,Great!!!! 👈👍 😊
120,generally decent stuff .
121,"Got approached through my gumtree advert, thought it was worth a shot, but will be uninstalling after a day. Can't see who is interested in items for sale unless you pay extra for 'chat', and takes round in circles with 'to continue you need to log into google play store' messages. Good idea, but too many unthought out issues at the moment to be of any use."
122,"Developer has the very shady method of harvesting people's numbers from Gumtree and using them to advertise this app, which is against their policies. Leaves a very bad taste on an app that already looks unintuitive and seems to have a lot of teething problems. Time spent spamming people would be better spent on making improvements to the app itself."
123,I'll
124,very helpful app
125,not good.keeps asking me to log in.wont let me see messages.waste of time. going to delete it now.
126,best ever
127,Seems okay
128,44 re
129,not sold anything yet but good that it's local
130,good
131,really easy to use.. people are lovely...
132,cool ap to post items to sell
133,"Claims to be within walking distance yet ive looked at items 30+ miles away! Claims a raise of a hand is someone showing interest yet wheb you contact those people yiu eithet get no reply or not interested! Charge £6.99 for a week of chat facility, i want a refund after less than a day!"
134,good
135,Can not complete car sale add asking me to fill in optional data
136,Just registered hope it will turn out nice
137,waste of time
138,rubbish
139,Seemed easy to use but won't let me access parts without logging in. When I try to log in just takes me to play store. Going round in circles
140,love it
141,So easy to use
142,excellent app
143,great
144,excellent deals
145,good
146,Good Idea
147,very interested
148,excelliant
149,great local selling/buying app
150,annoying sends notifications of things u may be i retested in when all I wanted to do was sell a sofa uninstalled it still get emails waste of time and costs to view messages
151,Very easy to use
152,lot of faffing unless you pay to speak to people . keeps asking me to log into Google app store . frustrating
153,exceptional
154,Took so much money for advertising even if item didn't sell. £5.99 bosted fee and £29.99 to chat with people not even one person contacted me. £36 wasted for nothing. Never download this app. Not recommended at all.
155,"Nothing intuitive about this site. Facebook marketplace, eBay, Gumtree are a far superior and helpful alternative."
156,wasn't workong out for me om the end
157,very good site
158,good
159,very good didn't know about the app
160,"First time on here,not sure how this works."
161,New App just getting used to it 😃
162,excellent fast and easy to upload things
163,easey to use
164,cool
165,great site
166,awesome app love it
167,Decent
168,excellent
169,"Half the things on this app don't work. It keeps telling me to ""log into Google Play store"". It never sends verification codes, never asked me for an email and won't let me add one. I have zero confidence this is going to lead to anything other than uninstalling the app."
170,1st time user
171,i dont understand how to work it
172,easy to load items to sell
173,been on half an hour and already got a shop set up with all my listings on. easy to use and so many features. loving this app!
174,great
175,so much to choose from...love it
176,wouldn't load page
177,brilliant
178,great site
179,Great selling site
180,good
181,ok
182,"nothing came through about people looking. i also hadnt realised i had to pay on repeat,thought it was a one off."
183,nice
184,you can sell anything i love the app
185,nice
186,It keeps on telling me to log in when I want to see who has viewed my item
187,To many notifications... better shopping apps out there...
188,How do I cancel my subscription for the chatting to customers as I got a 7 day free trial then have to pay afterwards and wish to cancel now as my 7 days are up?
189,nice
190,you have to pay to see buyers comments(( so not free
191,rrally good
192,very good for selling
193,good
194,selling items on here can be hit or miss....
195,"Shameful. Whoever is in charge of the marketing techniques of this app should be fired. I, like many others who have left one star reviews, was texted on my private number referencing an ad I placed on Gumtree. The text was attempting to encourage me to download this app (which I have gone ahead and done specifically so I can write this review). Even more disgraceful is that none of the reviews referencing this issue have been responded to, but almost every other review has been. Again, shameful"
196,"I don't understand all those who leave comments that their details have been copied from gumtree. This is happening every day,even banks are sharing your details to others. In last couple of months who doesn't receive call for accident compensation? At least this website try to help you, me I didn't hear about village.co before."
197,"Not happy that you used my details from gumtree. I had to install to leave a review, but I will be uninstalling. Thought I had a potential buyer, to then realise someone was trying to get me advertise using another app."
198,"Waste of money and time, don't install this app, developer Motto is just earn money, they don't care about customer relationship You please tell me, if someone saw my ad in village app, I should know who's saw, because I'm a business man, I should contact them, but you charging high prices, and I don't know how much response I'll get"
199,Very good
200,Reported for breaking GDPR laws. Never use my mobile number to advertise.
201,STOP TAKING PEOPLES DETAILS OFF OF GUMTREE!!!! sending out spam texts just to try and boost your own app!!!! Stop texting people spam and useless texts. It's WRONG taking people's numbers from other sites just to try and boost your own app. Looking at other reviews and the amount of 1*s you have this tactic has failed anyway.
202,It needs a good update as it is really slow and just freezes up. The layout could be better but it's mostly about how slow this really is.
203,"Got a text message that seemed like a real person from an ad on gumtree, and I warily tried it out. Loading times are awful, app crashed a bunch, and not even useful for what I wanted to advertise. Should have stuck to the other reviews warning me. Shady and underhand business practice here just to get more downloads."
204,Its great love it
205,It's great love local stuff
206,"Similar to other reviews my contact details were taken from a gumtree ad, recieved a text from what I thought was a potential buyer only to realise it was just someone trying to gain downloads of this app, will never use now."
207,Items way to expensive
208,Very good app
209,I listed an item on Gumtree and these scummy people think it's ok to text you and tell you to put it on there app!! Why don't you just sod off
210,nive
211,"Didn't appreciate the use of my number from Gumtree. Woke up to a text message seemingly from a person who had seen an advert I'd placed on Gumtree (but had deleted about an hour later) I replied (still thinking ot was a real person) and had a text with a link to this app. Pretty shameful tactics tbh, don't appreciate it. Wouldn't touch this app with a barge hole judging from the other reviews anyway."
212,Fake
213,Please stop messaging people after they've posted ads elsewhere.
214,"Takes far too long to open, just send to be searching forever"
215,I posted an ad on gum tree and I receive a text.. Will be reporting this to gumtree..underhanded gits!!
216,Havent sold anythibg and keep seeing things for sale 33 plus miles away even though my map is correct
217,This is very bad. Waist our data.
218,Not loading app
219,So good app for all of us
220,"I wish there were more people using it and that i could use pics from my google pics with it but everything else is amazing. The app is super easy to use and i love the way it is set up to show you what is for sale in walking distance, but that you can change it to further away. Others are the oposite which is kinda lame cause if I forget to change it i unintentionly contact someone out of state. I really hope more people pick up on how easy this app is to use, and start using it here in Las Vegas."
221,"Very good customer service but no customers. You will never sell on this app. They don't have customers they have sellers. Nooo customers, 😭"
222,"Dodgy. Posted an app on gumtree and got a text to re post on here. Bit 
dodgy, not using it"
223,"Onle have people list thier items but no one ever chat you up. Then one day 
i finally have a s***** guy ""chat"" me up in one of my listings, pretend to 
ask me where to meet up etc. Asking me how to use the app bla bla.. Do I 
looked like I'm the developer or customer service of this app! Wasting my 
time talking to him!!"
224,"After posting an add on gum tree I received texts asking me to join up to 
this app. Very underhanded. Will not use"
225,"Full of scammers some 1 called marie Bancroft tried pretending she ad 
throat cancer and was house bound so she has to get some 1 else to collect 
but then she sent me a fake paypal email sayin she had transferd me 420 
into my paypal 175pound for my stuff but she never mentioned anything about 
her putting an extra 245 in then she told me i had to go to a post office 
to send the money to a money gram for her as she cant get t a post office 
to pay it but she exspected me to pay 245 outa my own pocket till"
226,Takes to long to warm up the app when turning it on.
