,content
0,Very nice. I love this app. As a fandom there are so many fanfiction to read .
1,"It's great, but you can't put pictures in your stories without them moving and covering up the words, and you can't move it back. Also, when you use italics or something like that, sometimes it turns the whole story into italics, or whatever you're using."
2,Good one
3,"This app was amazing when I first tried it out and I loved using it, but now with all the useless updates and bugs it's hard to even use the app anymore. Ranging from ads after almost every chapter, to not being able to see when others respond to your comments, to books being taken down literally WHILE you're reading them. Just yesterday I was scrolling through my library and it was all fine, then I click on the app again today and almost my ENTIRE library is gone?! Absolutely ridiculous"
4,Ok the last bug I reported got fixed thanks for that❤ but wattpad is acting up again.... It is not allowing me to read paid stories offline neither is it allowing me to read the offline downloaded ones.... 💔😟
5,Lots of good books
6,This app used to be good one now it's totally flooded with ads only Ads are ok but in moderate manner There are 45 sec ads after every chapter
7,Cool
8,I think the app should be more advertised. I feel like people should be reading and writing more stories. They’re just helpful and therapeutic in a way I can see.
9,"This is an amazing app. I read and write all the time! But before I downloaded the app, I used the website. The website had no ads which I think is weird. It should have ads instead, making you want to download the app for no ads. I would give this a 4.5, but it's I can't, and it's not good for a perfect 5 stars. Keep working and adding things!"
10,This app is so nice because Wattpad is help me to relax if I'm so stressed from school ❤️
11,"i was editing my story and then i just went to open another app to search for something, and when i came back, the app restarted. what's even worse is that when i was about so reopen the chapter i was editing, all the changes that have been made weren't saved. and the WORST part is that the revision history wont let me f-ing load the previously saved draft. FIX THIS I VEG YOU."
12,What happened to the app? I cant load anything with the most recent update! My conmection is fine. Ive uninstalled and reinstalled a million times. The problem still exists!
13,Good
14,It doesn't let me change my username please fix that
15,"I love it but just one problem, when I put the pictures in my book, it won't appear when I publish it. And when i click kn a font to use, it would cover the entire text of the chapter in the same font aswell, plus it is super laggy and is always telling me to click on a version of the chapter to save since it glitches or something and doesn't save the chapter. It keeps sending the texts to the middle of the page when i want to make it to the right. Please fix these issues, and thanks"
16,Good
17,I have been using wattpad for about 2 years now and everything was fine at first but whenever I add images images my chapters the images somehow disappear from the chapter after a few days. Im also having a hard time typing since yesterday the typing won't load and the app freezes up a lot. I hope this gets fixed.
18,"If you would attach the possibility of adding an audio file when writing, it would be fun that I add songs to the appropriate events in the story that I write، I will raise the rating to 5 stars when you add this feature, which will improve the program a lot"
19,"What the hell Wattpad? I always have dark mode on while I read, but now since I've updated the app, dark mode no longer works while reading! I can't read at night anymore because the FORCED light mode while reading hurts my eyes. Again, what the hell, Wattpad? You guys are too money-hungry, I swear to GOD. Too many ads! If these are fixed/changed I'll consider a better review."
20,Absolutely love this app.
21,We can save 25 books offline right? But at once it becomes only two and again in another week it becomes 25...Is it just for me? I thought of buying premium but still can y'all fix this for me?
22,I like reading.So I Like this
23,My internet is terrible 💀💀
24,The best app ever!It has some amazing relateble stories OMG!!!!!!!!!
25,"Its still great and all but i dont like the new update the much, the synopsis font was way too small yeah it looks classy but not that convenient, and it takes way too long to load a story before you saw the synopsis even though the data and wifi were doing fine and its not the signal's problem"
26,"I absolutely love the app, but it wont let me sign in, whenever i do it says try later💔"
27,"Truly, there are no words its wonderful, yes there are adds but its worth cause of stories and u know I have also improved my english"
28,This app won't allow me to change my username and because of this app I was hacked twice
29,"lol, what's wrong with this. why all my password has declined."
30,"This is the worst app I have ever installed on my device. I kept on putting in my email address AND IT WAS CORRECT but the app kept on saying that it's invalid. I downloaded this thinking it'd be a great app for me to write stories on, but guess what? I can't even get into the app. Worst app ever, I am uninstalling this app right now. I am never going to download this ever again."
31,I Like
32,Don't install this app. They are selling your privacy data
33,Pakitanggal nalang po ng paid stories hehe
34,"There's something wrong with wattpad... I can't add more than 2 stories in my offline list, and that's really making me upset."
35,It showing that my offline limit is 2 out of 2. I am so angry of this 😞
36,Good
37,"It's a great app & I've really enjoyed writing on it , but since some days my story's parts are getting messed up , the lining of the numbers of chapters are getting messed up & the amount of chapters is messed up too , hope you guys will fix this problem ."
38,"The app was good until the new update, it won't even let me sign into my main accounts anymore, it says that the username or password is wrong, but when I search up my accounts on Wattpad they're still there."
39,"God, wattpad isn't like before 😤"
40,So good
41,Memories of the past filled with dark moments I'm going back to it to see my mistakes I'll rate this as 5 stars for now Unless I change my mind.
42,"The app is really great, but since yesterday I can’t read novels when I want to read it says there is no internet connection but I already have internet I’m facing this problem from yesterday also today I can’t log in to the app nothing works inside the app it shows I’m not connected to the internet but I have internet, so why doesn't it work, I will give it a star only now, and when the problem is solved, then I will give it 5 stars"
43,I would like to think that it's a nyc reading app
44,"Never felt so annoyed using an app before, you update and update trying to ""improve"" the visuals, but EVERYTHING gets worse. First, it ALWAYS changes the layout or format I Placed and when I preview my work IT ALWAYS CHANGES. there's a reason, i put THAT certain layout. And another thing, i absolutely HATE the new visuals of this app, the previous one, is waaay better than those. I am beyond disappointed on where this app had gone from."
45,Okkk
46,Life
47,Grbe hirap gumawa ng acc.
48,"Even if any story is fully uploaded in this app, the next chapters are not shown, so that I cannot read the next story. please fix this problem soon"
49,"The best among the rest, my stress reliever forever"
50,"Hi, wattpad is not working from 2 days . The app is not opening at all. Tried ubinstalling and reinstalling but still the same problem"
51,Its a good app but recently when i open this one story it shows this story got lost..... What should i do.... Btw its in one of my offline stories
52,"Amazing, I really love it. This app really makes my day"
53,I love this app so much
54,"Good experience,love it...."
55,super nice to read
56,having to relog every time you open the app is annoying
57,Too much ads
58,"La aplicación es perfecta, excepto por dos aspectos: 1. HAY ANUNCIOS MIENTRAS LEES 2. ¿Para que implementar las historias pagadas? Eso arruina totalmente el concepto de aplicacion gratis y de libre acceso. Me gustaria que eliminaran estos dos aspectos de la aplicación, obstruyen la lectura cómoda y son bastante molestos. Además, la gente hace sus historias para el entretenimiento, no para la remuneración económica."
59,Very nice
60,Love the app but recently its been asking for a relogin EVERY TIME I use it online but works offline now I can access it at all! Please fix this!
61,its about a meh
62,Good for know
63,"The only good thing about wappad is the easy to use-ness. But I uninstalled the app. The amount of ads is obnoxious, I'm just trying to read and every. Single. Page. Theres an ad. Super annoying, would not reccomend. Find a diffrent app to all you fanfic lovers out there.😭"
64,"I used to love this app, then they started doing paid stories where you could pay for the entire story which I was fine with! Now you have to pay for each chapter (after so many chapters) even for books that I previously paid for, so now I have to pay AGAIN. Like what the heck?"
65,It keeps saying that it is not working even though it's been updated. It works on my other devices.
66,It should have a highlight feature
67,Dark mode and horizontal reading aren't working on tablets
68,It's good but when I try to read something and I scroll down I would get an app that wants me to download it so please fix that thank you
69,This updated Wattpad sucks
70,Love ut
71,"Puedo soportar anuncios pero no los que me distraen mientras leo, los anuncios dentro de cada capítulo son insoportables y el sistema de historias similares rara vez recomienda algo simiar a lo que se está leyendo, aparte se está atorando demaciado, en este punto preferiría leer en otro sitio"
72,"Does it have a dark mode that i dont know or does it really dont have any dark mode ? If it doesnt i need a dark more fr, my phone looks like a torch in light mode when im reading at 3 a.m."
73,It was the best expirence ever in my life. Thanks for the chance of expensive
74,"Hello so a couple of days ago I was changing my username and your app needed me to type my password in while changing my username why do I have to type my password while changing my username I tried to do it. And it doesn't work. Also this morning, I was texting my friend about a dream I had a few hours ago, and I send the message with missing words I got mad because I know I can't delete my Text message from your app. I think your wattpad Dm system needs a delete button for text messages."
75,👍
76,Involved in the case of data breaching
77,"Love this app, so many great stories on it too"
78,When you download it only for bts ff🤣🤣
79,يدعم المثليه الجنسيه
80,🩵🦋
81,Good good good good good
82,very very bad
83,Magnific
84,good
85,This app is great but it would be better if we would be able to classify our books into folders to be able to search a specific book again
86,Being on this app isn't that fun anymore. To many annoying ads and when I tried to add pictures to my work it kept ruining the format. When I tried to upload a chapter it said error with wifi but ever other app worked perfectly fine. Not to mention writing a story on Wattpad without a laptop is a complete chore. Get better Wattpad.
87,"There was a lot of good stories that are paid stories so it kinda sucks a little. Also, is it just mine that says (for example) 14/25 in the offline stories but is actually just 13? You're making me doubt my counting skills so, please fix that. Anyway, there's a lot to complain about but the others probably already said it so I'm not going to repeat them. In any case, I'ma give this a four star because I've been with Wattpad for 6 years and I'm familiar with it."
88,Burmese costumes
89,"when a user opens a notification for a reply to their comment they should automatically be brought to that comment, not the page in the book."
90,Amazing app
91,i love it but i do not like 1131
92,Beautiful
93,"i like this app. however, whenever i am trying to right a story, there is always an error occuring while saving the part."
94,التطبيق ما يسمح اني انزل أكثر من روايتين في Available offline مع انو كان ينزل أكثر من 24 روايه تقريبا
95,"The app is great, until you reach the unnecessary amount of ads, I was fine with one after reading 2 or 3 chapters, but it's just gotten crazy, ad at the bottom of the screen, in-between the chapters with out a video, once you were able to find other books to read in between them but now you just get ads. The app has started to become un user friendly with the amount of ads that are cramped into it."
96,"IT DIDN'T EVEN LET ME IN WHAT DO YOU WANT JEEZ LORD ALL IT WANT IS MY PAST ACCOUNT I DON'T EVEN KNOW, I WANT TO MAKE NEW ACCOUNT BUT IT KEEP TELLING ME ABOUT MY PAST ACCOUNT WHAT IS WRONG WITH THE NEW UPDATE"
97,This is a very good app for reading stories but I am having problems in my comments whenever I get a notification of a comment and I click in it it doesn't open my comment which I typed but instead show the story and I have to find it myself
98,this is not appropriate for kids and it has stories that are not suitable for minors like Aimee Joy Esique Perez
99,"I love this app, but recently I feel so frustrated using this. I keep on refreshing, uninstalling and installing the app and the result is still the same. I always lost my favorite books that's added to the offline stories and it keep on saying that ""the story is lost or broken."" 🤦‍♀️😭"
100,The stories are sooo good
101,It one of my best novel apps and it being keeping entertained for years now.....I don't really have a problem with the app
102,"There is a problem..When I receive a notification that someone has replied to a comment of mine, and I click on the notification, the reply doesn't appear to me..I have to search for the comment myself to see what he replied to me! This is annoying The old Wattpad was better."
103,i doesn't like that the option for the offline is just at max is 2. what happened with wattpad these days? bring back the 25 offline stories
104,It's a good app but do have some stuff I would like Wattpad to add like for some chapter some authors would want to add like a song for the moon and right now you have it out in a yt video and you can't scroll down because then you can't play the video so instead how about you put like something from Spotify like how you put the text to speech like tumbler and you could scroll and the music would stooo once you are done with the chapter
105,Good app
106,Love it but I hate this one tiktok ad every time it pops up I can't get it off I have to leave the app completely and It keeps popping up after I just had to leave the app please fixs this its really annoying
107,Excelente que hayan agregado advertencias sobre ciertos contenidos. Excellent! ‘Consent is important' is a really good warning.
108,"I love Wattpad! That's how I discovered my love for writing. I'm an upcoming teenage author. However, when feeding my inner child with fanfictions, I cannot leave my pictures saved because they will disappear and reappear on top of one another, which is pretty frustrating when you're creating a plot to a story because you have to keep editing and redoing the same thing perpetually. It costs one star, unfortunately."
109,I love this app! The only problem is that that it has for some reaons stoped sending me notifications. I don't know why cause I tried everything. Notifications are allowed any nothing seems to be stoping it I cheaked the page this app has to see if it was a problem on the app's/website's end but it doesn't seem like it. If you guys could please figure out why this app has not been sending me notifications I would love that. Thank you.
110,This app is not opening in my mobile I don't know why it doesn't work in my android phone
111,"I've been using this app for 7 years, and I have the ad free version. Everything's great. What I hate is when I'm on the last page of a chapter and the next chapter has a video in the beginning, and that video starts playing before I even get to that page. I don't want it playing in general unless I play it myself, but it's an annoying inconvenience to be finishing a chapter, and all of a sudden, music/audio starts playing, completely ruining the flow of how I was reading and the book in general"
112,"Someone needs to take my phone away from me, I'm addicted."
113,"I am about to be done with this app, hate is a strong word but, I have come to hate what wattpad has become, many reasons why many persons have left, the many ads was one but that tolerable, but for me to find out that my wattpad offline stories limit decreased drastically from 25 of 25 stories to 2 of 2, what am I to do with 2 stories in my offline reading list, do you understand the amount of book I have read on this app, for 9 years I have been on this app."
114,I LOVEEEE Wattpad but man really you changed the free offline space from 25 to 2 y'all were doing really great until this.... And yes I don't use money so please if you could change it back that would be nice.
115,Im traumatized by my living nightmare abt tokio hotel.
116,Honestly getting tired of the type of ads I get; usually repulsive stuff. I don't even mind ads I just wish they could be less explicit or at the least curated to me
117,Amazing app
118,Great but now we gotta pay to have more offline stories 👍
119,Amazing!
120,"The stories you can download are decreasing and I woke up one day to only 2 of my 25 stories left and honestly the previous versions were way better than the new ones. Now I can't even open my account anymore, I just downloaded this on a new phone and it won't open anymore, ut just kept saying that there's a problem and to try again later when I have been trying for so long"
